THPOS37,"A.K. Kaminsky, A.V. Elzhov, N.S. Ginzburg, E.V. Gorbachev, V.V. Kosukhin, S.V. Kuzikov, E.A. Perelstein, N.Yu. Peskov, M.I. Petelin, N.V. Pilyar, T.V. Rukoyatkina, S.N. Sedykh, A.S. Sergeev, A.P. Sergeev, A.I. Sidorov, V.V. Tarasov, N.I. Zaitsev","Status of 30 GHz Facility for Experimental Investigation of the Copper Cavity Lifetime (Clic Collider Project)",
THPOS38,"E.G. Bessonov, R.M. Feshchenko, V.I. Shvedunov","The Coherent Synchrotron Radiation Influence on the Storage Ring Longitudinal Beam Dynamics",
THPOS45,"A.N. Matveenko, O.A. Shevchenko, N.A. Vinokurov","Isochronous Bend for a High Gain Ring FEL",
THPOS46,"O.A. Shevchenko, A.V. Kuzmin, N.A. Vinokurov","Numerical Modeling of the Novosibirsk Terahertz FEL and Comparison with Experimental Results",
THPOS47,"Ch. Gerth, M.A. Bowler, B. Faatz, B.W.J. McNeil, B.D. Muratori, H.L. Owen, R. Thompson","Start-To-End Simulations of the Energy Recovery Linac Prototype FEL",
THPOS48,"R. Thompson, B.W.J. McNeil","The Two-Beam Free Electron Laser Oscillator",
THPOS51,"J. John, W. M. Fawley, G. Penn, M. Reinsch, W. Wan, J. Wurtele, A.A. Zholents","Harmonic Cascade FEL Designs for LUX, a Facilty for Ultrafast X-ray Science",
THPOS53,"K. Chalut, V.N. Litvinenko, V. Pinayev","Novel Method for Phase-Space Tomography of Rapidly Evolving E-beams",
THPOS54,"V. Pinayev, K. Chalut, V.N. Litvinenko","Characterization of Storage Ring FEL operating in the Giant Pulse Mode",
THPOS56,"G. Andonian, R.B. Agustsson, M. Babzien, I. Ben-Zvi, I. Boscolo, S. Cialdi, M. Ferrario, A. Flacco, J.Y. Huang, V.N. Litvinenko, A. Murokh, L. Palumbo, C. Pellegrini, S. Reiche, J.B. Rosenzweig, G. Travish, C. Vicario, V. Yakimenko","VISA IB: Ultra-High Bandwidth, High Gain SASE FEL",
THPOS57,"P. M. Musumeci, S. Boucher, A. Doyuran, R.J. England, C. Joshi, C. Pellegrini, J. Ralph, J.B. Rosenzweig, C. Sung, Ya. Tochitsky, S.V. Tolmachev, G. Travish, A.A. Varfolomeev, A.A. Varfolomeev Jr., T.V. Yarovoi, R. Yoder","Acceleration of Electrons in a Diffraction Dominated IFEL",
THPOS58,"W. B. Colson, B. W. Williams","Free Electron Lasers in 2004",
THPOS59,"P. P. Crooker, J. Blau, W. B. Colson","Stability of a Short Rayleigh Range Laser Resonator with Misaligned or Distorted Mirrors",
THPOS60,"C. A. Brau, H. L. Andrews, C. H. Boulware, J. D. Jarvis","Gain and Coherent Radiation from a Smith-Purcell Free-Electron Laser",
THPOS62,"T. Shaftan, H. Loos, B. Sheehy, L.H. Yu","Preliminary Measurements of the High-Gain FEL Radiation Properties along the Radiator",
THPOS65,"E.L. Saldin, E.A. Schneidmiller, M.V. Yurkov","A Novel Diagnostics of Ultrashort Electron Bunches Based on Detection of Coherent Radiation from Bunched Electron Beam in an Undulator",
THPOS66,"E.L. Saldin, E.A. Schneidmiller, M.V. Yurkov","Expected Properties of Radiation from VUV-FEL at DESY (Femtosecond Mode of Operation)",
TUAOS03,"J. Kim, W.S. Graves, F. O. Ilday, F. X. Kaertner, D. E. Moncton, O. D. Muecke, M. H. Perrott, T. Zwart","Large-Scale Timing Distribution and RF-Synchronization for FEL Facilities",
TUAOS04,"G. Berden, W.A. Gillespie, S.P. Jamison, A.M. MacLeod, B. Redlich, A.F.G. van der Meer","High Temporal Resolution, Single-Shot Electron Bunch-Length Measurements",
TUBIS01,"P. Emma, M. Borland, Z. Huang","Attosecond X-ray Pulses in the LCLS using the Slotted Foil Method",
TUBOS02,"C.H.G. Hernandez-Garcia, K.B.B. Beard, C. Behre, S. V. Benson, G. H. Biallas, J. Boyce, D. Douglas, H. F. Dylla, R. Evans, A. Grippo, J. Gubeli, D. Hardy, K. Jordan, L. Merminga, G. Neil, J. Preble, M.D. Shinn, T. Siggins, R. Walker, G. Williams, B. Yunn, S. Zhang","Longitudinal Space Charge Effects in the JLAB IR FEL SRF Linac",
TUBOS03,"M.D. Shinn, C. Behre, S. V. Benson, M. Bevins, D.B. Bullard, J. Coleman, L. Dillon-Townes, T. Elliott, J. Gubeli, D. Hardy, K. Jordan, R. Lassiter, G. Neil, S. Zhang","High Average Power Operation of a Scraper-Outcoupled Free-Electron Laser",
TUBOS04,"I.B. Vasserman, R.J. Dejus, . Den Hartog, . Moog, . Sasaki, . Trakhtenberg, M. White","LCLS Undulator Design Development",
TUBOS05,"K. Honkavaara","Commissioning of the TTF Linac Injector at the DESY VUV-FEL",
TUCOS01,"N.A. Vinokurov, V. P. Bolotin, D. A. Kayran, B. A. Knyazev, E. I. Kolobanov, V.V. Kotenkov, V. V. Kubarev, G. N. Kulipanov, A.N. Matveenko, L. E. Medvedev, S. V. Miginsky, L. A. Mironenko, A. D. Oreshkov, V. K. Ovchar, V. M. Popik, T. V. Salikova, M. A. Scheglov, S. S. Serednyakov, O.A. Shevchenko, A. N. Skrinsky","Status of the Novosibirsk Terahertz FEL",
TUCOS02,"S. V. Benson, K.B.B. Beard, C. Behre, G. H. Biallas, J. Boyce, D. Douglas, H. F. Dylla, R. Evans, A. Grippo, J. Gubeli, D. Hardy, C.H.G. Hernandez-Garcia, K. Jordan, L. Merminga, G. Neil, J. Preble, M.D. Shinn, T. Siggins, H. Toyokawa, R. Walker, G. Williams, B. Yunn, S. Zhang","High Power Lasing in the IR Upgrade FEL at Jefferson Lab",
TUCOS03,"St. Guenster, M.B. Danailov, A. Gatto, N. Kaiser, D. Ristau, F. Sarto, M.T. Trovò","VUV Optics Development for the Elettra Storage Ring FEL",
TUCOS04,"gdn. De Ninno, M.B. Danailov, B. Diviacco, M. Ferianis, L. Giannessi, M.T. Trovò","Coherent Harmonic Generation using the ELETTRA Storage Ring Optical Klystron",
TUCOS05,"W. B. Colson, R. L. Armstead, J. Blau, P. P. Crooker","Short Rayleigh Length Free Electron Lasers",
TUPOS01,"MP. Pekeler, HV. Vogel, PS. vom Stein","Industrial Production of Superconducting 1.3 GHz Accelerator Modules and components for FEL application",
TUPOS02,"T. Kamps","Collimation System for the BESSY FEL",
TUPOS03,"J. Baehr, K. Abrahamyan, G. Asova, I. Bohnet, J.-P. Carneiro, G. Dimitrov, K. Floettmann, H.-J. Grabosch, J.H. Han, M. Krasilnikov, D. Lipka, P. Michelato, V.V. Miltchev, L. Monaco, A. Oppelt, B. Petrosyan, D. Pose, D. Richter, S. Riemann, S. Schreiber, D. Sertore, L. Staykov, F. Stephan, M. v. Hartrott","High Power RF Conditioning and Measurement of Longitudinal Emittance at PITZ",
TUPOS04,"R.W. Dekorsy, K.F. Fahmy, E.G. Grosse, P. Michel, W. Seidel, A.W. Wolf, R.W. Wuensch","An Electromagnetic Undulator for the Far Infrared at ELBE",
