thppo061,"C.E. Reece, JLAB, Newport News, Virginia","Exploration and Comparison of Hydrodynamic and Thermal Properties of Horizontal and Vertical Electropolishing Configurations with Various Boundary Conditions",742 745,
thppo062,"C.E. Reece, E. Ciancio, K.A. Keyes, D. Yang, JLAB, Newport News, Virginia","A Study of the Effectiveness of Particulate Cleaning Protocols on Intentionally Contaminated Niobium Surfaces",746 750,
thppo063,"M. Raškovic, ODU, Norfolk, Virginia; H.L. Phillips, JLAB, Newport News, Virginia; S. Popovic, J. Upadhyay, ODU, Norfolk, Virginia; A-M. Valente-Feliciano, JLAB, Newport News, Virginia; L. Vuškovic, ODU, Norfolk, Virginia","Plasma Treatment of Bulk Niobium Surface for SRF Cavities - Optimization of the Experimental Conditions on Flat Samples",751 754,
thppo064,"A.T. Wu, G. Ciovati, JLAB, Newport News, Virginia; F. Eozénou, CEA, Gif-sur-Yvette; S. Jin, L. Lin, X.Y. Lu, PKU/IHIP, Beijing; J. Mammosser, ORNL, Oak Ridge, Tennessee; R. Manus, C.E. Reece, R.A. Rimmer, JLAB, Newport News, Virginia; E. Wang, BNL, Upton, Long Island, New York; J.S. Williams, JLAB, Newport News, Virginia","Surface Treatments of Nb by Buffered Electropolishing",755 759,
thppo065,"A.T. Wu, JLAB, Newport News, Virginia; D.R. Swenson, Passport Systems Inc, Billerica, Massachusetts","Significant Reduction in Field Emission on Niobium Surfaces after GCIB Treatment",760 764,
thppo066,"M.P. Kelly, ANL, Argonne; D.J. Bice, Fermilab, Batavia; S.M. Gerbick, ANL, Argonne; G. Wu, Fermilab, Batavia","Electropolishing at ANL/FNAL",765 768,
thppo067,"J.Y. Zhai, IHEP Beijing, Beijing; J.Z. Chen, HJL, Beijing; Y.L. Chi, J.P. Dai, J. Gao, J. Gu, M. Hou, Z.Q. Li, IHEP Beijing, Beijing; J.Q. Qiao, HJL, Beijing; J.X. Wang, BIAM, Beijing; W.P. Xie, OTIC, Ningxia; H. Yu, BIAM, Beijing; J. Yu, IHEP Beijing, Beijing; H. Yuan, BIAM, Beijing; J.R. Zhang, IHEP Beijing, Beijing; T.X. Zhao, TIPC, BeiJing","Dumbbell Fabrication and Tuning of the IHEP Large Grain 9-Cell Cavity",769 771,
thppo068,"F. Eozénou, S. Berry, J.-P. Charrier, Y. Gasser, CEA, Gif-sur-Yvette; A.T. Wu, JLAB, Newport News, Virginia","Electro-Chemical Comparisons between BEP and Standard EP of Niobium",772 775,
thppo069,"F. Eozénou, S. Berry, J.-P. Charrier, Y. Gasser, CEA, Gif-sur-Yvette","More Information Concerning Electro-Polishing Mechanisms in Hydrofluoric-Sulphuric Acid Mixtures",776 780,
thppo070,"F. Eozénou, C.Z. Antoine, S. Berry, J.-P. Charrier, Y. Gasser, CEA, Gif-sur-Yvette; D. Reschke, DESY, Hamburg","Low-Voltage Electro-Polishing of SRF Cavities",781 785,
thppo071,"J. Iversen, Th. Buettner, A. Goessel, D. Klinke, G. Kreps, W.-D. Möller, C. Mueller, DESY, Hamburg","Development and Design of a RF-Measurement Machine for the European XFEL Cavity Fabrication",786 790,
thppo072,"B. van der Horst, A. Matheisen, B. Petersen, M. Schmoekel, N. Steinhau-Kuehl, H. Weitkaemper, DESY, Hamburg","Experiences on Improved Cavity Preparation Cycles with a Vision on Industrialization of the XFEL Cavity Preparation",791 793,
thppo073,"A. Matheisen, R. Bandelmann, K. Escherich, N. Krupka, H. Morales Zimmermann, DESY, Hamburg","A New High Pressure Rinsing System Established at DESY",794 796,
thppo074,"J.H. Thie, DESY, Hamburg; R.H. Carcagno, Fermilab, Batavia; A. Goessel, J. Iversen, DESY, Hamburg; T.N. Khabiboulline, Fermilab, Batavia; D. Klinke, DESY, Hamburg; S. Kotelnikov, Fermilab, Batavia; G. Kreps, DESY, Hamburg; A. Makulski, Fermilab, Batavia; W.-D. Möller, C. Mueller, DESY, Hamburg; R. Nehring, J.M. Nogiec, Fermilab, Batavia; D. Proch, DESY, Hamburg; M.C. Ross, W. Schappert, Fermilab, Batavia","Mechanical Design of Automatic Cavity Tuning Machines",797 800,
thppo075,"G. Lanza, S. Calatroni, L.M.A. Ferreira, A.E. Gustafsson, CERN, Geneva; V. Palmieri, INFN/LNL, Legnaro, Padova; M. Pasini, T. Trilhe, CERN, Geneva","The HIE-ISOLDE Superconducting Cavities: Surface Treatment and Niobium Thin Film Coating",801 805,
thppo076,"C.A. Cooper, Fermilab, Batavia; C. Boffo, BNG, Würzburg; J.S. Brandt, L. Cooley, M. Ge, E.R. Harms, T.N. Khabiboulline, J.P. Ozelis, Fermilab, Batavia","Recent Developments in Electropolishing and Tumbling R&D at Fermilab",806 810,
thppo081,"N. Steinhau-Kuehl, DESY, Hamburg; T. Eidtner, C. Hartmann, B. Henkel, Henkel, Neustadt-Glewe; A. Matheisen, DESY, Hamburg","Update on Quality Control of the Electro-Polishing Acid",811 813,
thppo082,"F. Furuta, KEK, Ibaraki; D.J. Bice, Fermilab, Batavia; A.C. Crawford, R.L. Geng, JLAB, Newport News, Virginia; T. Konomi, K. Saito, KEK, Ibaraki","S0 Tight Loop Studies on ICHIRO 9-Cell Cavities",814 817,
thppo083,"F. Furuta, K. Saito, KEK, Ibaraki","Field Flatness Degradation Problems and Cure",818 820,
