frioa06,"E. Gschwendtner [CERN, Geneva, Switzerland] ","AWAKE: Advanced Proton Driven Plasma Wakefield Acceleration Experiment at CERN",1196 1201,
mopp086,"D. Mascali, C. Altana, L. Andò, C. Caliri, G. Castro, L. Celona, S. Gammino, L. Neri, F.P. Romano, G. Torrisi [INFN/LNS, Catania, Italy] G. Sorbello [University of Catania, Catania, Italy] ","Ecr Ion Sources Developments at INFN-LNS for the Production of High Brightness Highly Charged Ion Beams",254 256,
mopp087,"A. Pepato, E. Fagotti, F. Grespan, A. Palmieri, A. Pisent, C. R. Roncolato [INFN/LNL, Legnaro (PD), Italy] R. Dima, L. Ferrari, E. Udup [INFN- Sez. di Padova, Padova, Italy] A. Margotti [INFN-Bologna, Bologna, Italy] P. Mereu [INFN-Torino, Torino, Italy] ","Construction of the Modules of the IFMIF-EVEDA RFQ",257 260,
mopp088,"A. Pisent, P. Colautti, E. Fagotti [INFN/LNL, Legnaro (PD), Italy] ","MUNES a Compact Neutron Source for BNCT and Radioactive Wastes Characterization",261 263,
mopp090,"J. Tamura, H. Ao, K. Hirano, Y. Nemoto, N. Ouchi [JAEA/J-PARC, Tokai-mura, Japan] H. Asano [Nippon Advanced Technology Co. Ltd., Ibaraki-prefecture, Japan] F. Naito, K. Takata [KEK, Ibaraki, Japan] ","Adjustment of the Coupling Factor of the Input Coupler of the ACS Linac by a Capacitive Iris in J-PARC",264 266,
mopp091,"Y. Kondo, T. Morishita, Y. Sawabe, S. Yamazaki [JAEA/J-PARC, Tokai-Mura, Naka-Gun, Ibaraki-Ken, Japan] T. Hori [JAEA, Ibaraki-ken, Japan] A. Takagi [KEK, Ibaraki, Japan] ","Beam Test of a New RFQ for the J-PARC Linac",267 269,
mopp092,"H. Dewa, H. Hanaki, S. Suzuki [JASRI/SPring-8, Hyogo-ken, Japan] ","Compact Timing System with FPGA for SPring-8 Linac",270 272,
mopp093,"H. Hanaki, H. Dewa, S. Suzuki, K. Yanagida [JASRI/SPring-8, Hyogo-ken, Japan] T. Asaka, T. Ohshima [RIKEN SPring-8 Center, Sayo-cho, Sayo-gun, Hyogo, Japan] ","Evaluation of Beam Energy Fluctuations Caused by Phase Noises",273 275,
mopp094,"S. Suzuki, H. Dewa, H. Hanaki, T. Kobayashi, T. Magome, A. Mizuno, T. Taniuchi, K. Yanagida [JASRI/SPring-8, Hyogo-ken, Japan] T. Asaka [RIKEN SPring-8 Center, Sayo-cho, Sayo-gun, Hyogo, Japan] ","Latest Improvements of the SPring-8 Linac for High Reliability",276 278,
mopp095,"K. Yanagida, H. Hanaki, S. Suzuki [JASRI/SPring-8, Hyogo-ken, Japan] ","Emittance Measurement for SPring-8 Linac Using Four Six-Electrode BPMs",279 281,
mopp096,"M. Dehn, I. Alexander, K. Aulenbacher, J. Diefenbach, R.G. Heine, C. Matejcek, F. Schlander, D. Simon [IKP, Mainz, Germany] ","Current Status of the Mainz Energy-Recovering Superconducting Accelerator Project",282 284,
mopp097,"V. Blackmore [JAI, Oxford, United Kingdom] ","The Physics Programme of Next MICE Step IV",285 287,
mopp098,"V. Kobets, N. Balalykin, I.N. Meshkov, V. Minashkin, G. Shirkov [JINR, Dubna, Moscow Region, Russia] V. Shabratov [JINR/VBLHEP, Moscow, Russia] ","Physical Starting of the First and Second Section of Accelerator Linac-800",288 290,
mopp099,"A.D. Kovalenko, A.V. Butenko [JINR, Dubna, Moscow Region, Russia] A. Kolomiets, A.S. Plastun [ITEP, Moscow, Russia] ","Compact Proton Injector for Synchrotrons",291 293,
