FRXAPA01,"M.S. Zisman, LBNL, Berkeley, California","Neutrino Factories and Beta Beams",
MOPCH074,"P. Beller, K. Beckert, C. Dimopoulou, A. Dolinskii, F. Nolden, M. Steck, J. Yang, GSI, Darmstadt","Layout of an Accumulator and Decelerator Ring for FAIR",
MOPCH075,"V. Gostishchev, K. Beckert, P. Beller, C. Dimopoulou, A. Dolinskii, GSI, Darmstadt; I.N. Meshkov, JINR, Dubna, Moscow Region; F. Nolden, GSI, Darmstadt; A.O. Sidorin, A.V. Smirnov, JINR, Dubna, Moscow Region; M. Steck, GSI, Darmstadt; G.V. Trubnikov, JINR, Dubna, Moscow Region","Internal Target Effects in the ESR Storage Ring with Cooling",
MOPCH076,"D. Krämer, GSI, Darmstadt","Baseline Design for the Facility for Antiproton and Ion Research (FAIR) Finalized",
MOPCH077,"F. Nolden, K. Beckert, P. Beller, U. Blell, C. Dimopoulou, A. Dolinskii, U. Laier, G. Moritz, C. Muehle, I. Nesmiyan, C. Peschke, M. Steck, GSI, Darmstadt","The Collector Ring CR of the FAIR Project",
MOPCH078,"C. Omet, P.J. Spiller, J. Stadlmann, GSI, Darmstadt","Simulation of Dynamic Vacuum Induced Beam Loss",
MOPCH079,"J. Stadlmann, K. Blasche, B. Franczak, GSI, Darmstadt; A.D. Kovalenko, JINR, Dubna, Moscow Region; C. Omet, N. Pyka, P.J. Spiller, GSI, Darmstadt","Ion Optical Design of the Heavy Ion Synchrotron SIS100",
MOPCH080,"M. Steck, K. Beckert, P. Beller, C. Dimopoulou, A. Dolinskii, F. Nolden, J. Yang, GSI, Darmstadt","Design of the NESR Storage Ring for Operation with Ions and Antiprotons",
MOPCH081,"C.P. Welsch, CERN, Geneva; H. Danared, MSL, Stockholm; C.P. Welsch, CERN, Geneva","FLAIR: a Facility for Low-energy Antiproton and Ion Research",
MOPCH083,"A. Garishvili, A. Lehrach, FZJ, Jülich; P. Lenisa, INFN-Ferrara, Ferrara; B. Lorentz, S.A. Martin, F. Rathmann, FZJ, Jülich; E. Steffens, Erlangen University, Erlangen","Design Study for an Antiproton Polarizer Ring (APR)",
MOPCH084,"D. Prasuhn, J. Dietrich, A. Lehrach, B. Lorentz, R. Maier, H. Stockhorst, FZJ, Jülich","From COSY to HESR",
MOPCH085,"R. Stassen, P.B. Brittner, G. Schug, H.S. Singer, FZJ, Jülich","Pickup Structures for the HESR Stochastic Cooling System",
MOPCH086,"H. Stockhorst, FZJ, Jülich; T. Katayama, CNS, Saitama; B. Lorentz, R. Maier, D. Prasuhn, FZJ, Jülich","Stochastic Cooling for the HESR at the GSI-FAIR Complex",
MOPCH087,"Y. Shimosaki, K. Takayama, K. Torikai, KEK, Ibaraki","Quasi-adiabatic Transition Crossing in the Hybrid Synchrotron",
MOPCH088,"A. Noda, Kyoto ICR, Uji, Kyoto; H. Fadil, MPI-K, Heidelberg; S. Fujimoto, Kyoto ICR, Uji, Kyoto; T. Fujimoto, AEC, Chiba; M. Grieser, MPI-K, Heidelberg; M. Ikegami, Kyoto ICR, Uji, Kyoto; S.I. Iwata, AEC, Chiba; I.N. Meshkov, JINR, Dubna, Moscow Region; K. Noda, NIRS, Chiba-shi; I.A. Seleznev, JINR, Dubna, Moscow Region; S. Shibuya, AEC, Chiba; T. Shirai, Kyoto ICR, Uji, Kyoto; A.V. Smirnov, JINR, Dubna, Moscow Region; H. Souda, Kyoto ICR, Uji, Kyoto; E. Syresin, JINR, Dubna, Moscow Region; M. Tanabe, H. Tongu, Kyoto ICR, Uji, Kyoto","Ion Cooler Storage Ring, S-LSR",
MOPCH089,"V.A. Mikhaylov, A.V. Alfeev, A.V. Butenko, A.V. Eliseev, JINR, Dubna, Moscow Region; E. Fischer, GSI, Darmstadt; H.G. Khodzhibagiyan, A.D. Kovalenko, O.S. Kozlov, V.V. Seleznev, JINR, Dubna, Moscow Region; P.J. Spiller, J. Stadlmann, GSI, Darmstadt; A.Y. Starikov, V. Volkov, JINR, Dubna, Moscow Region","Basic Aspects of the SIS100 Correction System Design",
MOPCH090,"N.N. Alexeev, D.G. Koshkarev, B.Y. Sharkov, ITEP, Moscow","ITEP-TWAC Status Report",
MOPCH091,"J. Resta-López, R.W. Assmann, CERN, Geneva; A. Faus-Golfe, IFIC, Valencia; S. Redaelli, J. Resta-López, G. Robert-Demolaize, D. Schulte, F. Zimmermann, CERN, Geneva","An Alternative Nonlinear Collimation System for the LHC",
MOPCH092,"H. Danared, A. Källberg, A. Simonsson, MSL, Stockholm","CRYRING Machine Studies for FLAIR",
MOPCH093,"P. Löfgren, G. Andler, L. Bagge, M. Blom, MSL, Stockholm; H. Cederquist, FYSIKUM, AlbaNova, Stockholm University, Stockholm; H. Danared, A. Källberg, MSL, Stockholm; M. Larsson, FYSIKUM, AlbaNova, Stockholm University, Stockholm; S. Leontein, L. Liljeby, A. Paal, K.-G. Rensfelt, MSL, Stockholm; S. Rosén, H.T. Schmidt, K. Schmidt, FYSIKUM, AlbaNova, Stockholm University, Stockholm; A. Simonsson, MSL, Stockholm","Design of the Double Electrostatic Storage Ring DESIREE",
MOPCH094,"M. Benedikt, J. Tan, CERN, Geneva","Low-intensity Beams for LHC Commissioning from the CERN PS-booster",
MOPCH095,"M. Benedikt, M. Chanel, K. Hanke, CERN, Geneva","Performance of Nominal and Ultimate LHC Beams in the CERN PS-booster",
MOPCH096,"J. Pasternak, P. Beloshitsky, C. Carli, M. Chanel, CERN, Geneva","LEIR Lattice",
MOPCH097,"R.R. Steerenberg, J.-P. Burnet, M. Giovannozzi, O. Michels, E. Métral, B. Vandorpe, CERN, Geneva","CERN Proton Synchrotron Working Point Control Using an Improved Version of the Pole-face-windings and Figure-of-eight Loop Powering",
MOPCH098,"E.S. McCrory, K.B. Biery, E.G. Gottschalk, S.G. Gysin, E.R. Harms, S.K. Kunori, M.J. Lamm, Fermilab, Batavia, Illinois; M. Lamont, CERN, Geneva; K.M. Maeshima, P.M. McBride, A.J. Slaughter, A.D. Thomas, Fermilab, Batavia, Illinois","LHC@FNAL: A Remote Access Center for the LHC at Fermilab",
MOPCH099,"K.A. Brown, L. Ahrens, I.-H. Chiang, C.J. Gardner, D.M. Gassner, L. Hammons, M. Harvey, J. Morris, A. Rusek, P. Sampson, M. Sivertz, N. Tsoupas, K. Zeno, BNL, Upton, Long Island, New York","Performance and Capabilities of the NASA Space Radiation Laboratory at BNL",
MOPCH100,"H. Huang, L. Ahrens, M. Bai, A. Bravar, K.A. Brown, E.D. Courant, C.J. Gardner, J. Glenn, BNL, Upton, Long Island, New York; F. Lin, IUCF, Bloomington, Indiana; A.U. Luccio, W.W. MacKay, BNL, Upton, Long Island, New York; M. Okamura, RIKEN, Saitama; V. Ptitsyn, T. Roser, BNL, Upton, Long Island, New York; J. Takano, RIKEN, Saitama; S. Tepikian, N. Tsoupas, J. Wood, K. Yip, A. Zelenski, K. Zeno, BNL, Upton, Long Island, New York","Polarized Proton Acceleration in the AGS with Two Helical Partial Snakes",
MOPCH101,"W.W. MacKay, BNL, Upton, Long Island, New York","On the Feasibility of a Spin Decoherence Measurement",
MOPCH102,"D. Trbojevic, J. Kewisch, W.W. MacKay, T. Roser, S. Tepikian, BNL, Upton, Long Island, New York","A Straight Section Design in RHIC to Allow Heavy Ion Electron Cooling",
MOPCH103,"R. Ferdinand, R. Beunard, GANIL, Caen; A.C. Caruso, INFN/LNS, Catania; S. Cazaux, CEA, Gif-sur-Yvette; V. Desmezières, GANIL, Caen; M. Desmons, CEA, Gif-sur-Yvette; M. Di Giacomo, GANIL, Caen; A. France, CEA, Gif-sur-Yvette; M. Fruneau, Y. Gómez-Martínez, LPSC, Grenoble; D. Leboeuf, O. Piquet, CEA, Gif-sur-Yvette; P. Robillard, GANIL, Caen; J.-C. Toussaint, CEA, Gif-sur-Yvette","SPIRAL2 RFQ Prototype -- First Results",
MOPCH105,"O. Delferriere, M. Desmons, CEA, Gif-sur-Yvette; R. Ferdinand, GANIL, Caen; A. France, CEA, Gif-sur-Yvette","A New RF Tuning Method for the End Regions of the IPHI 4-vane RFQ",
MOPCH106,"A. France, CEA, Gif-sur-Yvette; R. Ferdinand, GANIL, Caen; O. Piquet, CEA, Gif-sur-Yvette","An Innovative Method to Observe RFQ Vanes Motion with Full-scale RF Power and Water Cooling",
MOPCH107,"O. Piquet, M. Desmons, A. France, CEA, Gif-sur-Yvette","Tuning Procedure of the 6 Meter IPHI RFQ",
MOPCH108,"M.A. Baylac, J.-M. De Conto, E. Froidefond, LPSC, Grenoble; E.Zh. Sargsyan, CERN, Geneva","Error Study of LINAC 4",
MOPCH109,"M. Droba, N.S. Joshi, O. Meusel, P. Nonn, U. Ratzinger, IAP, Frankfurt-am-Main","Design Studies on a Novel Stellarator Type High Current Ion Storage Ring",
MOPCH111,"M.A. Clarke-Gayther, CCLRC/RAL/ASTeC, Chilton, Didcot, Oxon; G. Bellodi, F. Gerigk, CERN, Geneva","A Fast Beam Chopper for the RAL Front End Test Stand",
MOPCH112,"A.P. Letchford, CCLRC/RAL, Chilton, Didcot, Oxon; J.J. Back, University of Warwick, Coventry; Y.A. Cheng, Imperial College of Science and Technology, Department of Physics, London; M.A. Clarke-Gayther, D.C. Faircloth, CCLRC/RAL, Chilton, Didcot, Oxon; S. Jolly, A. Kurup, Imperial College of Science and Technology, Department of Physics, London; D.C. Plostinar, J.K. Pozimski, CCLRC/RAL, Chilton, Didcot, Oxon; P. Savage, Imperial College of Science and Technology, Department of Physics, London","The RAL Front End Test Stand",
MOPCH113,"D.C. Plostinar, CCLRC/RAL/ASTeC, Chilton, Didcot, Oxon; M.A. Clarke-Gayther, CCLRC/RAL/ISIS, Chilton, Didcot, Oxon","Re-bunching RF Cavities and Hybrid Quadrupoles for the RAL Front-end Test Stand (FETS)",
MOPCH114,"A. Seville, D.J. Adams, D. Bayley, N.E. Farthing, I.S.K. Gardner, M.G. Glover, A. Morris, B.G. Pine, J.W.G. Thomason, C.M. Warsop, CCLRC/RAL/ISIS, Chilton, Didcot, Oxon","Progress on Dual Harmonic Acceleration on the ISIS Synchrotron",
MOPCH115,"C.M. Warsop, CCLRC/RAL/ISIS, Chilton, Didcot, Oxon","Transverse Space Charge Studies for the ISIS Synchrotron",
MOPCH116,"A. Kurup, Imperial College of Science and Technology, Department of Physics, London; A.P. Letchford, CCLRC/RAL/ISIS, Chilton, Didcot, Oxon","Electromagnetic Design of a Radio Frequency Quadrupole for the Front End Test Stand at RAL",
MOPCH117,"P. Savage, Y.A. Cheng, Imperial College of Science and Technology, Department of Physics, London; A.P. Letchford, CCLRC/RAL/ISIS, Chilton, Didcot, Oxon; J.K. Pozimski, CCLRC/RAL, Chilton, Didcot, Oxon","Mechanical Design and RF Measurement on RFQ for Front-end Test Stand at RAL",
MOPCH118,"Y. Irie, JAEA/J-PARC, Tokai-Mura, Naka-Gun, Ibaraki-Ken; D. Bayley, G.M. Cross, CCLRC/RAL/ISIS, Chilton, Didcot, Oxon; J.C. Dooling, ANL, Argonne, Illinois; S. Fukumoto, KEK, Ibaraki; I.S.K. Gardner, M.G. Glover, CCLRC/RAL/ISIS, Chilton, Didcot, Oxon; D. Horan, ANL, Argonne, Illinois; D. Jenkins, CCLRC/RAL/ISIS, Chilton, Didcot, Oxon; R. Kustom, M.E. Middendorf, ANL, Argonne, Illinois; A. Morris, CCLRC/RAL/ISIS, Chilton, Didcot, Oxon; M. Muto, T. Oki, KEK, Ibaraki; G. Pile, ANL, Argonne, Illinois; A. Seville, S.P. Stoneham, CCLRC/RAL/ISIS, Chilton, Didcot, Oxon; A. Takagi, S. Takano, KEK, Ibaraki; J.W.G. Thomason, T. Western, CCLRC/RAL/ISIS, Chilton, Didcot, Oxon","Wideband Low-output-impedance RF System for the Second Harmonic Cavity in the ISIS Synchrotron",
MOPCH119,"K. Takayama, Y. Arakida, T. Iwashita, T. Kono, E. Nakamura, KEK, Ibaraki; K. Otsuka, Nippon Advanced Technology Co. Ltd., Ibaraki-prefecture; Y. Shimosaki, M.J. Shirakata, T. Sueno, K. Torikai, KEK, Ibaraki","Present Status of the Induction Synchrotron Experiment in the KEK PS",
MOPCH120,"S. Takeda, KEK, Ibaraki; Y. Nakayama, JPOWER, Kanagawa-ken; N. Yamamoto, M. Yoshioka, KEK, Ibaraki","Ground Motion Study and the Related Effects on the J-PARC",
MOPCH121,"Y. Nakayama, K. Tada, JPOWER, Kanagawa-ken; S. Takeda, M. Yoshioka, KEK, Ibaraki","Ground Motion Measurement at J-PARC",
MOPCH122,"P.K. Saha, JAEA/J-PARC, Tokai-Mura, Naka-Gun, Ibaraki-Ken; H. Harada, Hiroshima University, Higashi-Hiroshima; H. Hotchi, Y. Irie, F. Noda, JAEA/J-PARC, Tokai-Mura, Naka-Gun, Ibaraki-Ken","Realistic Beam Loss Estimation from the Nuclear Scattering at the RCS Charge-exchange Foil",
MOPCH124,"V. Kain, S. Beavan, Y. Kadi, CERN, Geneva","Energy Deposition in Adjacent LHC Superconducting Magnets from Beam Loss at LHC Transfer Line Collimators",
MOPCH126,"G.E. McMichael, F.R. Brumwell, L. Donley, J.C. Dooling, W. Guo, K.C. Harkay, Q.B. Hasse, D. Horan, R. Kustom, M.K. Lien, M.E. Middendorf, M.R. Moser, S. Wang, ANL, Argonne, Illinois","Accelerator Research on the Rapid Cycling Synchrotron at IPNS",
MOPCH127,"A.V. Aleksandrov, S. Assadi, W. Blokland, P. Chu, S.M. Cousineau, V.V. Danilov, C. Deibele, J. Galambos, S. Henderson, D.-O. Jeon, M.A. Plum, A.P. Shishlo, ORNL, Oak Ridge, Tennessee","SNS Warm Linac Commissioning Results",
MOPCH129,"S. Henderson, A.V. Aleksandrov, D.E. Anderson, S. Assadi, I.E. Campisi, F. Casagrande, M.S. Champion, R.I. Cutler, V.V. Danilov, G.W. Dodson, D.A. Everitt, J. Galambos, J.R. Haines, J.A. Holmes, N. Holtkamp, T. Hunter, D.-O. Jeon, S.-H. Kim, D.C. Lousteau, T.L. Mann, M.P. McCarthy, T. McManamy, G.R. Murdoch, M.A. Plum, B.R. Riemer, M.P. Stockli, D. Stout, R.F. Welton, ORNL, Oak Ridge, Tennessee","Status of the SNS Beam Power Upgrade Project",
MOPCH130,"J.A. Holmes, S.M. Cousineau, S. Henderson, M.A. Plum, ORNL, Oak Ridge, Tennessee","Simulations for SNS Ring Commissioning",
MOPCH131,"M.A. Plum, A.V. Aleksandrov, S. Assadi, W. Blokland, I.E. Campisi, P. Chu, S.M. Cousineau, V.V. Danilov, C. Deibele, G.W. Dodson, J. Galambos, M. Giannella, S. Henderson, J.A. Holmes, D.-O. Jeon, S.-H. Kim, C.D. Long, T.A. Pelaia, T.J. Shea, A.P. Shishlo, Y. Zhang, ORNL, Oak Ridge, Tennessee","SNS Ring Commissioning Results",
MOPCH132,"U. Iriso, CELLS, Bellaterra (Cerdanyola del Vallès); S. Peggs, BNL, Upton, Long Island, New York","Coupled Maps for Electron and Ion Clouds",
MOPCH133,"U. Iriso, CELLS, Bellaterra (Cerdanyola del Vallès); S. Peggs, BNL, Upton, Long Island, New York","An Analytic Calculation of the Electron Cloud Linear Map Coefficient",
MOPCH134,"U. Iriso, CELLS, Bellaterra (Cerdanyola del Vallès); W. Fischer, BNL, Upton, Long Island, New York; U. Iriso, CELLS, Bellaterra (Cerdanyola del Vallès)","Electron-impact Desorption at the RHIC Beam Pipes",
MOPCH135,"U. Iriso, CELLS, Bellaterra (Cerdanyola del Vallès); G. Rumolo, CERN, Geneva","Benchmarking Electron Cloud Data with Computer Simulation Codes",
MOPCH136,"J. Wei, BNL, Upton, Long Island, New York; S.X. Fang, S. Fu, IHEP Beijing, Beijing","China Spallation Neutron Source Accelerators: Design, Research, and Development",
MOPCH137,"J. Wei, BNL, Upton, Long Island, New York; S.X. Fang, IHEP Beijing, Beijing; Y.Y. Lee, BNL, Upton, Long Island, New York; S. Machida, C.R. Prior, CCLRC/RAL/ASTeC, Chilton, Didcot, Oxon; Q. Qin, IHEP Beijing, Beijing; G. Rees, CCLRC/RAL/ASTeC, Chilton, Didcot, Oxon; J. Tang, IHEP Beijing, Beijing; S. Tepikian, BNL, Upton, Long Island, New York; S. Wang, IHEP Beijing, Beijing","An Anti-symmetric Lattice for High Intensity Rapid-cycling Synchrotrons",
MOPCH138,"W.-T. Weng, J.S. Berg, BNL, Upton, Long Island, New York; S.J. Brooks, CCLRC/RAL/ASTeC, Chilton, Didcot, Oxon; R.C. Fernow, J.C. Gallardo, H.G. Kirk, N. Simos, BNL, Upton, Long Island, New York","Choice of Proton Driver Parameters for a Neutrino Factory",
MOPCH139,"V. Zviagintsev, K. Fong, M.P. Laverty, R.E. Laxdal, A.K. Mitra, T.C. Ries, I. Sekachev, TRIUMF, Vancouver","Results and Experience with Single Cavity Tests of Medium Beta Superconducting Quarter Wave Resonators at TRIUMF",
MOPCH140,"G. Devanz, P. Bosland, M. Desmons, E. Jacques, M. Luong, B. Visentin, CEA, Gif-sur-Yvette","Compensation of Lorentz Force Detuning of a TTF 9-cell Cavity with a New Integrated Piezo Tuner",
MOPCH141,"B. Visentin, J.-P. Charrier, Y. Gasser, S. Regnaud, CEA, Gif-sur-Yvette","Fast Argon-Baking Process for Mass Production of Niobium Superconducting RF Cavities",
MOPCH142,"P. Marchand, SOLEIL, Gif-sur-Yvette; P. Bosland, P. Bredy, CEA, Gif-sur-Yvette; H.D. Dias, M.D. Diop, M.E. El Ajjouri, J.L. Labelle, R.L. Lopes, M. Louvet, C.M. Monnot, J. Polian, F. Ribeiro, T. Ruan, R.S. Sreedharan, K. Tavakoli, C. Thomas-Madec, SOLEIL, Gif-sur-Yvette","Commissioning of the SOLEIL RF Systems",
MOPCH143,"M. Fouaidy, N. Hammoudi, M.S. Saki, H. Saugnac, L. Simonet, IPN, Orsay","Electromechanical Characterization of Piezoelectric Actuators Subjected to a Variable Preloading Force at Cryogenic Temperature",
MOPCH144,"G. Martinet, S. Blivet, F. Chatelet, M. Fouaidy, N. Hammoudi, A. Olivier, H. Saugnac, IPN, Orsay","Low Temperature Properties of Piezoelectric Actuators Used in SRF Cavities Cold Tuning Systems",
MOPCH145,"G. Olry, IPN, Orsay; P.-E. Bernaudin, CEA, Gif-sur-Yvette; J.-L. Biarrotte, IPN, Orsay; P. Bosland, CEA, Gif-sur-Yvette; S. Bousson, IPN, Orsay; G. Devanz, CEA, Gif-sur-Yvette; C. Joly, T. Junquera, J. Lesrel, G. Martinet, D. Moura, H. Saugnac, P. Szott, IPN, Orsay","Tests Results of the Beta 0.07 and Beta 0.12 Quarter Wave Resonators for the SPIRAL2 Superconducting Linac",
MOPCH146,"H. Saugnac, J.-L. Biarrotte, S. Blivet, S. Bousson, C. Commeaux, C. Joly, T. Junquera, J. Lesrel, fl. Lutton, G. Martinet, G. Olry, P. Szott, IPN, Orsay","Status of the Beta 0.12 Superconducting Cryomodule Development for the Spiral2 Project",
MOPCH147,"H. Jenhani, T. Garvey, P. Lepercq, M. Omeich, C.P. Prevost, V. Variola, LAL, Orsay","Developments in Conditioning Procedures for the TTF-III Power Couplers",
MOPCH148,"O. Kugeler, W. Anders, J. Borninkhof, H.G. Hoberg, S. Klauke, J. Knobloch, M. Martin, G. Mielczarek, A. Neumann, D. Pflückhahn, S. Rotterdam, M. Schuster, T. Westphal, BESSY GmbH, Berlin","First RF Tests in the HoBiCaT Superconducting Test Facility at BESSY",
MOPCH149,"O. Kugeler, W. Anders, J. Knobloch, A. Neumann, BESSY GmbH, Berlin","Microphonics Measurements in a CW-driven TESLA-type Cavity",
MOPCH150,"A. Neumann, W. Anders, S. Klauke, J. Knobloch, O. Kugeler, M. Schuster, BESSY GmbH, Berlin","Characterization of a Piezo-based Microphonics Compensation System at HoBiCaT",
MOPCH151,"A. Buechner, FZR/FWFE, Dresden; H. Buettig, FZR, Dresden; F.G. Gabriel, FZR/FWFE, Dresden; U. Lehnert, P. Michel, Ch. Schneider, R. Schurig, FZR, Dresden","Pulsed RF System for the ELBE Superconducting Accelerator",
MOPCH152,"U. Lehnert, FZR, Dresden; A. Buechner, FZR/FWFE, Dresden; H. Buettig, FZR, Dresden; F.G. Gabriel, FZR/FWFE, Dresden; P. Michel, Ch. Schneider, R. Schurig, FZR, Dresden","A Pulsed-RF High-power Processing Effect of Superconducting Niobium Cavities observed at the ELBE Linear Accelerator",
MOPCH153,"H. Liebermann, H. Podlech, U. Ratzinger, IAP, Frankfurt-am-Main","Peak Field Optimization for the Superconducting CH Structure",
MOPCH154,"A. Brinkmann, J.I. Iversen, D. Reschke, J. Ziegler, DESY, Hamburg","Dry-ice Cleaning on SRF Cavities",
MOPCH155,"L. Lilje, DESY, Hamburg","Performance Limitations of Tesla Cavities in the Flash Accelerator and their Relation to the Assembly Process",
MOPCH157,"E. Zaplatin, FZJ, Jülich; T.L. Grimm, W. Hartung, M. J. Johnson, M.S. Meidlinger, J. Popielarski, NSCL, East Lansing, Michigan","Structural Analysis for a Half-reentrant Superconducting Cavity",
MOPCH158,"E. Zaplatin, M. Pap, R. Tölle, FZJ, Jülich","HIPPI Triple-spoke Cavity Design",
MOPCH159,"P. Goudket, C.D. Beard, CCLRC/DL/ASTeC, Daresbury, Warrington, Cheshire; G. Burt, Microwave Research Group, Lancaster University, Lancaster","Coupler Design Considerations for the ILC Crab Cavity",
MOPCH160,"A. Kalinin, L. Ma, R.J. Smith, CCLRC/DL/ASTeC, Daresbury, Warrington, Cheshire","A Beam-based High Resolution Phase Imbalance Measurement Method for the ILC Crab Cavities",
MOPCH161,"P.A. McIntosh, C.D. Beard, CCLRC/DL/ASTeC, Daresbury, Warrington, Cheshire; S.A. Belomestnykh, Cornell University, Laboratory for Elementary-Particle Physics, Ithaca, New York; A. Buechner, FZR, Dresden; J.M. Byrd, J.N. Corlett, LBNL, Berkeley, California; D.M. Dykes, CCLRC/DL/ASTeC, Daresbury, Warrington, Cheshire; T. Kimura, Stanford University, Stanford, Califormia; D. Li, LBNL, Berkeley, California; M. Liepe, V. Medjidzade, Cornell University, Ithaca, New York; P. Michel, FZR, Dresden; H. Padamsee, Cornell University, Ithaca, New York; D. Proch, DESY, Hamburg; J. Sears, V.D. Shemelin, Cornell University, Ithaca, New York; T.I. Smith, Stanford University, Stanford, Califormia; J. Teichert, FZR, Dresden; B. Todd, CCLRC/DL/ASTeC, Daresbury, Warrington, Cheshire","Development of a Prototype Superconducting CW Cavity and Cryomodule for Energy Recovery",
MOPCH162,"P.A. McIntosh, C.D. Beard, D.M. Dykes, A.J. Moss, CCLRC/DL/ASTeC, Daresbury, Warrington, Cheshire","RF Requirements for the 4GLS Linac Systems",
MOPCH163,"G. Burt, Microwave Research Group, Lancaster University, Lancaster; C.D. Beard, CCLRC/DL/ASTeC, Daresbury, Warrington, Cheshire; L. Bellantoni, Fermilab, Batavia, Illinois; A.C. Dexter, Microwave Research Group, Lancaster University, Lancaster; P. Goudket, CCLRC/DL/ASTeC, Daresbury, Warrington, Cheshire; R.M. Jones, UMAN, Manchester","Analysis of Wakefields in the ILC Crab Cavity",
MOPCH164,"M. Jensen, Diamond, Oxfordshire; J. Alex, Thomson Broadcast amp; Multimedia AG, Turgi; B. A. Aminov, CRE, Wuppertal; M. Maddock, Diamond, Oxfordshire; M. Mueller, Thomson Broadcast amp; Multimedia AG, Turgi; S.A. Pande, Diamond, Oxfordshire; M. Pekeler, ACCEL, Bergisch Gladbach; S. Rains, A. F. Rankin, D. Spink, A.V. Watkins, Diamond, Oxfordshire","Status of the Diamond Storage Ring Radio Frequency System",
MOPCH165,"A. Facco, INFN/LNL, Legnaro, Padova; R. Losito, CERN, Geneva; F. Scarpa, D. Zenere, INFN/LNL, Legnaro, Padova; V. Zviagintsev, TRIUMF, Vancouver","Low- and Intermediate-beta, 352 MHz Superconducting Half-wave Resonators for High Power Hadron Acceleration",
MOPCH166,"G. Bisoffi, E. Bissiato, A. Palmieri, INFN/LNL, Legnaro, Padova","Construction, Tuning and Assembly of the Beta=0.12 SC Ladder Resonator at LNL",
MOPCH167,"M.R. Masullo, INFN-Napoli, Napoli; A. Andreone, E. Di Gennaro, F. Francomacaro, G. Lamura, Naples University Federico II, Napoli; V. Palmieri, INFN/LNL, Legnaro, Padova; M. Panniello, Naples University Federico II and INFN, Napoli; D. Tonini, INFN/LNL, Legnaro, Padova; V.G. Vaccaro, Naples University Federico II and INFN, Napoli","PBG Superconducting Resonant Structures",
MOPCH168,"A. Cianchi, L. Catani, D. D. Di Giovenale, INFN-Roma II, Roma; J. Langner, The Andrzej Soltan Institute for Nuclear Studies, Centre Swierk, Swierk/Otwock; J. Lorkiewicz, INFN-Roma II, Roma; V. M. Merlo, Università di Roma II Tor Vergata, Roma; B.R. Ruggiero, R. Russo, ICIB, Pozzuoli (NA); M. S. Sadowski, The Andrzej Soltan Institute for Nuclear Studies, Centre Swierk, Swierk/Otwock; M. Salvato, Università di Roma II Tor Vergata, Roma; P. Strzyzewski, The Andrzej Soltan Institute for Nuclear Studies, Centre Swierk, Swierk/Otwock; S. Tazzari, Università di Roma II Tor Vergata, Roma","Novel Development on Superconducting Niobium Film Deposition for RF Applications",
MOPCH169,"D. Sertore, E. Cavaliere, M. Fusetti, P. Michelato, C. Pagani, P. Pierini, INFN/LASA, Segrate (MI)","High Pressure Rinsing Water Jet Characterization",
MOPCH170,"L. Monaco, P. Michelato, C. Pagani, N. Panzeri, INFN/LASA, Segrate (MI)","Experimental and Theoretical Analysis of the Tesla-like SRF Cavity Flanges",
MOPCH171,"C. Pagani, A. Bosotti, P. Michelato, N. Panzeri, R. Paparella, P. Pierini, INFN/LASA, Segrate (MI)","ILC Coaxial Blade Tuner",
MOPCH174,"C. Boffo, C. A. Cooper, Fermilab, Batavia, Illinois; G. Galasso, University of Udine, Udine; A.M. Rowe, Fermilab, Batavia, Illinois","Optimization of the BCP Processing of Elliptical Nb SRF Cavities",
MOPCH175,"S.A. Belomestnykh, R.P.K. Kaplan, M. Liepe, P. Quigley, J.J.R. Reilly, C.K. Sinclair, V. Veshcherevich, Cornell University, Laboratory for Elementary-Particle Physics, Ithaca, New York","High Power Testing RF System Components for the Cornell ERL Injector",
