s7-5,"E. Boltezar, CERN, Geneva, Switzerland","Mechanical Design of CERN New Linac Accelerating Structure",392 395,
s7-6,"D.J. Liska, D. Clark, T. Cole, W. Coops, K. Creek, W. Fox, J.A. Frank, P. Giles, D. Greenwood, H. Norman, C. Potter, R.G. Schamaun, LASL, Los Alamos, New Mexico, USA","Modular Design Aspects of the FMIT Drift-Tube Linac",396 400,
s7-7,"C.W. Fuller, J.M. Potter, S.W. Williams, LASL, Los Alamos, New Mexico, USA","Mechanical Design Considerations in FMIT RFQ Development",401 405,
s8-1,"D.J. Clark, LBL, Berkeley, California, USA","Recent Progress in Ion Sources and Pre-Accelerators",409 419,
s8-10,"G.M. Gammel, E.F. Meier, R.M. Mobley, BNL, Upton, New York, USA","Ion Source and Transport System for BNL-HIF Pre-Accelerator",453 456,
s8-11,"J.D. Schneider, D.D. Armstrong, L.L. Catlin, E.A. Meyer, H.L. Rutkowski, B.A. Sherwood, LASL, Los Alamos, New Mexico, USA","Development of a High-Current Deuteron Injector for the FMIT Facility",457 461,
s8-12,"R.F. Bentley, New England Nuclear Corporation, Billerica, Massachusetts, USA","Pre-Accelerator for the NEN Linac",462 464,
s8-13,"R.R. Stevens Jr., E.P. Chamberlin, R.W. Hamm, J.R. McConnell, R.L. York, LASL, Los Alamos, New Mexico, USA","Injector Operations at LAMPF",465 468,
s8-2,"J. Grando, H. Haseroth, C. Hill, M. Hone, CERN, Geneva, Switzerland","Tests with a Multidipole Ion Source on the CERN 500 keV Experimental Pre-Accelerator",420 423,
s8-3,"A.J.T. Holmes, H. Inman, Culham Laboratory (Euraton-UKAEA Fusion Association), Abingdon, Oxfordshire, UK","Development of a High Brightness Ion Source",424 427,
s8-4,"Th. Sluyters, V. Kovarik, BNL, Upton, New York, USA","Properties of H- and D- Beams from Magnetron and Penning Sources",428 431,
s8-5,"R.W. Hamm, LASL, Los Alamos, New Mexico, USA","The EBIS as an Injector for Heavy-ion Linacs",432 435,
s8-6,"R. Keller, N. Angert, GSI, Darmstadt, Germany","Development of High Current Heavy Ion Sources at GSI",436 439,
s8-7,"B. Aune, CEN/Saclay, Gif-sur-Yvette, France; R.H. Miller, SLAC, Stanford, California, USA","New Method for Positron Production at SLAC",440 443,
s8-8,"H. Haseroth, M. Hone, J.L. Vallet, CERN, Geneva, Switzerland","The Compensation for Beam Loading on the Preinjector of the New CERN 50-MeV Linac",444 447,
s8-9,"J.D. Hepburn, B.G. Chidley, M.R. Shubaly, J. Ungrin, Chalk River Nuclear Laboratiories, Chalk River, Ontario, Canada","Design Criteria for High Voltage, High Current Accelerating Columns",448 452,
