abc-01,"B.W. Allardyce, CERN, Geneva, Switzerland","The CERN Synchrocyclotron Today",55 58,
gp-04,"A.M.J. Paans, E.J. de Graaf, T. Kuilman, O.E. Nieweg, W. Vaalburg, T. Wiegman, M.G. Woldring, University Hospital, Groningen, The Netherlands","The Production and Imaging of 55Co Labelled Bleomycin",699 701,
gp-05,"N. Breteau, R. Sabatier, Centre Hospitalier Regional d'Orléans, Orléans, France; J.C. Bajard, CNRS, Orléans, France; J. Gueulette, Université Catholique de Louvain, Louvain-la-Neuve, Belgium","The Orleans Neutrontherapy Facility",703 705,
gp-06,"J.L. Tom, T.Y.T. Kuo, G.O. Hendry, The Cyclotron Corporation, Berkeley, California, USA","Results of Measurements of an Isocentric Fast Neutron Therapy Unit with a 42 MeV Proton Cyclotron System",707 709,
gp-07,"G. Robaye, P. Bartsch, A. Collignon, J.M. Delbrouck, I. Roelandts, G. Weber, University of Liège, Liège, Belgium; Y.-J. Jian, General Research Institute for N-F Elements MMI, Peking, China","Some Medical Applications of Pixe Using Cyclotron Beam",711 713,
gp-08,"G. Burton, M.L. Renton, M.L. Simpson, Hammersmith Hospital, London, England","The Beam Sharing Project of the Hammersmith Cyclotron",715 717,
gp-09,"H. Brückmann, H.-W. Boie, U. Schröder, W. Vogel, University of Hamburg, Hamburg, West Germany","The Microprobe at the Hamburg Isochronous Cyclotron - Using High Energy Proton Induced X-Ray Fluorescence Radiation",719 721,
gp-10,"E. Bollmann, P. Fehsenfeld, A. Kleinrahm, FZK, Karlsruhe, West Germany","Irradiation Technique of Machine Parts for Wear Measurements in Mechanical Engineering",723 724,
gp-11,"M.A. Chaudhri, Austin Hospital  University of Melbourne, Melbourne, Australia; M.M. Lee, B.M. Spicer, University of Melbourne, Melbourne, Australia","Analysis of Industrial Coke Samples by Activation with Cyclotron Protons",725 727,
hi-01,"R.E. Pollock, Indiana University, Bloomington, Indiana, USA","Coupling Cyclotrons to Other Machines",731 736,
hi-02,"J.M. Loiseaux, Institut des Sciences Nucléaires, Grenoble, France","How Could Operational Conditions and Beam Control Devices Make an Experiment Easier, Efficient and More Precise?",737 744,
