moa1pl01,"H. Bartosik [CERN, Geneva, Switzerland] ","Challenges in Understanding Space Charge Dynamics",99 98,
wea1wa02,"A. Huschauer, H. Bartosik, S. Cettour-Cave, M. R. Coly, D.G. Cotte, H. Damerau, G.P. Di Giovanni, S.S. Gilardoni, M. Giovannozzi, V. Kain, E. Koukovini-Platia, B. Mikulec, G. Sterbini, F. Tecker [CERN, Geneva, Switzerland] ","Approaching the High-Intensity Frontier Using the Multi-Turn Extraction at the CERN Proton Synchrotron",231 236,
wea2wa01,"E. Koukovini-Platia, H. Bartosik, M. Migliorati, G. Rumolo [CERN, Geneva, Switzerland] M. Migliorati [INFN-Roma1, Rome, Italy] M. Migliorati [Sapienza University of Rome, Rome, Italy] ","High Intensity Effects of Fixed Target Beams in the CERN Injector Complex",237 242,
wea2wa02,"G. Stupakov [SLAC, Menlo Park, California, USA] ","Microbunched Electron Cooling (MBEC) for Future Electron-ion Colliders",243 246,
wea2wa04,"B.T. Freemire [Northern Illinois University, DeKalb, Illinois, USA] S. Chattopadhyay [Northern Illinois Univerity, DeKalb, Illinois, USA] M. Chung [UNIST, Ulsan, Republic of Korea] C.S. Park, V.D. Shiltsev, G. Stancari [Fermilab, Batavia, Illinois, USA] G. Penn [LBNL, Berkeley, California, USA] ","Space-Charge Compensation Using Electron Columns at IOTA",247 251,
wea2wb02,"L. Groening, S. Appel, X. Du, P. Gerhard, M.T. Maier, A. Rubin, P. Scharrer, H. Vormann, C. Xiao [GSI, Darmstadt, Germany] M. Chung [UNIST, Ulsan, Republic of Korea] P. Scharrer [HIM, Mainz, Germany] P. Scharrer [Mainz University, Mainz, Germany] ","Recent Studies of Beam Physics for Ion Linacs",200 205,
wep1wa03,"S.A. Kostromin, A.O. Sidorin [JINR, Dubna, Moscow Region, Russia] I.V. Gorelyshev [JINR/VBLHEP, Dubna, Moscow region, Russia] V.A. Lebedev [Fermilab, Batavia, Illinois, USA] A.O. Sidorin [Saint Petersburg State University, Saint Petersburg, Russia] ","IBS Near Transition Crossing in NICA Collider",252 255,
wep1wb01,"Y. Levinsen, R. De Prisco, M. Eshraqi, N. Milas, R. Miyamoto, D.C. Plostinar, A. Ponton [ESS, Lund, Sweden] ","Beam Dynamics of the ESS Linac",206 209,
wep1wb02,"M. Comunian, L. Antoniazzi, A. Baldo, C. Baltador, L. Bellan, D. Bortolato, M. Cavenago, E. Fagotti, M.G. Giacchini, F. Grespan, M. Montis, A. Palmieri, A. Pisent, F. Scantamburlo [INFN/LNL, Legnaro (PD), Italy] L. Bellan [Univ. degli Studi di Padova, Padova, Italy] N. Chauvin [IRFU, CEA, University Paris-Saclay, Gif-sur-Yvette, France] H. Dzitko [F4E, Germany] ","Beam Dynamics Simulation and Measurements for the IFMIF/EVEDA Project",210 214,
wep1wb03,"W.A. Barth, M. Heilmann, A. Rubin, A. Schnase, S. Yaramyshev [GSI, Darmstadt, Germany] K. Aulenbacher, W.A. Barth, F.D. Dziuba, V. Gettmann, T. Kuerzeder (T. Kürzeder), M. Miski-Oglu [HIM, Mainz, Germany] K. Aulenbacher [IKP, Mainz, Germany] M. Basten, M. Busch, H. Podlech, M. Schwarz [IAP, Frankfurt am Main, Germany] ","First Heavy Ion Beam Acceleration with a Superconducting Multi Gap CH-cavity",215 219,
wep1wb04,"S.M. Polozov, V.S. Dyubkov, T. Kulevoy, Y. Lozeev, T.A. Lozeeva, A.V. Samoshin [MEPhI, Moscow, Russia] A.S. Fomichev, L.V. Grigorenko [JINR/FLNR, Moscow region, Russia] T. Kulevoy [ITEP, Moscow, Russia] ","Design of Linac-100 and Linac-30 for New Rare Isotope Facility Project DERICA at JINR",220 225,
wep2po001,"A. Blas, G. Kotzian [CERN, Geneva, Switzerland] ","Upgraded Transverse Feedback for the CERN PS Booster",256 259,
wep2po002,"F.F. Van der Veken, M. Giovannozzi [CERN, Geneva, Switzerland] ","Scaling Laws for the Time Dependence of Luminosity in Hadron Circular Accelerators based on Simple Models of Dynamic Aperture Evolution",260 265,
