thpa11,"W.K. Fullagar, Monash University, Faculty of Science, Victoria; C.J. Hall, ASCo, Clayton, Victoria; D.M. Paganin, Monash University, Faculty of Science, Victoria","Transient Optical Gratings for Short Pulse, Short Wavelength Ionising Radiation Studies - Opportunities and Approaches",592 595,
thpa15,"B. Maraghechi, M.H. Rouhani, E. Salehi, AUT, Tehran","Numerical Simulation of Kolmogorov Entropy in a Free-Electron Laser with Ion-Channel Guiding",596 599,
thpa16,"B. Maraghechi, M. Olumi, M.H. Rouhani, AUT, Tehran","Nonlinear Traveling Waves in an Electromagnetically Pumped Free Electron Laser",600 603,
thpb03,"S. Di Mitri, M. Cornacchia, P. Craievich, G. Penco, ELETTRA, Basovizza; S. Spampinati, University of Nova Gorica, Nova Gorica; M. Venturini, A. Zholents, LBNL, Berkeley, California","Comparative Study of the FERMI@elettra Linac with One and Two-stage Electron Bunch Compression",604 607,
thpb04,"S. Di Mitri, ELETTRA, Basovizza; W.A. Barletta, LBNL, Berkeley, California; M. Cornacchia, ELETTRA, Basovizza","Emittance Growth Induced by Microbunching Instability in the FERMI@Elettra High Energy Transfer Line",608 610,
thpb05,"F.V. Hartemann, LLNL, Livermore, California; C. Adolphsen, SLAC, Menlo Park, California; F. Albert, S.G. Anderson, C.P.J. Barty, A.J. Bayramian, R.E. Bonnanno, LLNL, Livermore, California; A.E. Candel, SLAC, Menlo Park, California; T.S. Chu, R.R. Cross, C.A. Ebbers, D.J. Gibson, T.L. Houck, LLNL, Livermore, California; E.N. Jongewaard, Z. Li, SLAC, Menlo Park, California; R.A. Marsh, D.P. McNabb, M. J. Messerly, LLNL, Livermore, California; T.O. Raubenheimer, SLAC, Menlo Park, California; R.D. Scarpetti, LLNL, Livermore, California; V.A. Semenov, UCB, Berkeley, California; M. Shverdin, C. Siders, LLNL, Livermore, California; S.G. Tantawi, A.E. Vlieks, F. Wang, J.W. Wang, SLAC, Menlo Park, California; S.S.Q. Wu, LLNL, Livermore, California; F. Zhou, SLAC, Menlo Park, California","Velociraptor: LLNL's Precision Compton Scattering Light Source",611 613,
thpb11,"E. Sabia, G. Dattoli, M. Del Franco, L. Giannessi, M. Quattromini, V. Surrenti, ENEA C.R. Frascati, Frascati (Roma)","Free Electron Laser and Positronium Stimulated Annihilation",614 617,
thpb13,"H.H. Lee, KAIST, Daejeon; Y.U. Jeong, K. Lee, KAERI, Daejon; K. Min, KAIST, Daejeon; S. H. Park, KAERI, Daejon; H. Seo, Hanyang University, Seoul; H. Shim, Korea University, Seoul","A Simulation for the Optimization of Bremsstrahlung Radiation for Nuclear Applications Using Laser Accelerated Electron Beam",618 621,
thpb15,"L.T. Campbell, USTRAT/SUPA, Glasgow; B. Faatz, DESY, Hamburg; B.W.J. McNeil, USTRAT/SUPA, Glasgow","Generation of Variable Polarisation in a Short Wavelength FEL Amplifier",622 625,
thpb16,"C. Feng, J.H. Chen, W. Fang, Q. Gu, D. Wang, Z.T. Zhao, SINAP, Shanghai","Design of a Compact Hard X-Ray Free Electron Laser at SSRF",626 628,
