THPMA087,"R.S. Sandha, S.C. Bapna, J. Dwivedi, V.C. Petwal, H.C. Soni, RRCAT, Indore (M.P.)","Prototype Beam Dump For 10 kW LINAC",764 766,
THPMA088,"V.C. Petwal, S.C. Bapna, S. Kotaiah, R.S. Sandha, RRCAT, Indore (M.P.); K.V. Subbaiah, Safety Research Institute, Indira Gandhi Center for Atomic Research, Tamilnadu","Bremsstrahlung Converter For High Power EB Radiation Processing Facility",767 769,
THPMA089,"P. Kumar, D. Kanjilal, P.S. Lakshmy, G. Rodrigues, IUAC, New Delhi","Studies of Metallic Ion Beams using ECRIS",770 772,
THPMA091,"J.-C. Chang, Y.-H. Liu, Z.-D. Tsai, NSRRC, Hsinchu","Air Temperature Analysis and Control Improvement for the Injection Area at TLS",773 775,
THPMA093,"Y.-H. Liu, J.-C. Chang, J.-R. Chen, D.-J. Wang, NSRRC, Hsinchu","Vibration Evaluation for Utility Instruments and Water Piping System in TLS",776 778,
THPMA094,"S.R. Ghodke, K.K. Abdullah, R. Barnwal, D.P. Chakravarthy, D. Jayaprakash, M. K. Kumar, N. Lawangare, R.L. Mishra, K.C. Mittal, K. Nanu, G.P. Puthran, A.K. Ray, S.B. Supriya, V.S. Veer, BARC, Mumbai","SF6 Gas Handling System for 3 MeV, 30 kW Industrial Electron Beam Accelerator at EBC, Kharghar, Navi Mumbai",779 781,
THPMA096,"S. Chouksey, S. Kotaiah, S.S. Prabhu, V. Prasad, R. Ramasubramanian, S.K. Shukla, D.P. Yadav, RRCAT, Indore (M.P.)","Installation and Integration of Indus-2",782 784,
THPMA100,"Y. Wang, LSU/CAMD, Baton Rouge, Louisiana","Multipacting Study of Linac Prebuncher at CAMD",785 787,
THPMA102,"A.A. Bryazgin, V. Auslender, V.G. Cheskidov, B.L. Faktorovich, E. Konstantinov, A.D. Panfilov, BINP SB RAS, Novosibirsk","The Proton and Ion Linear Accelerator ILU-9",788 790,
THPMA104,"M. Pekeler, K. Dunkel, M. Peiniger, C. Piel, H. Vogel, P. vom Stein, ACCEL, Bergisch Gladbach","RF activities of ACCEL Instruments in Asia-Pacific",791 793,
