fraau01,"K. Honkavaara, B. Faatz, S. Schreiber, DESY, Hamburg","Status of FLASH",533 536,
mopph081,"R. Bartolini, Diamond, Oxfordshire; S. I. Bajlekov, University of Oxford, Clarendon Laboratory, Oxford; N. Delerue, JAI, Oxford; G. Doucas, S. M. Hooker, OXFORDphysics, Oxford, Oxon; K. J. Peach, JAI, Oxford; D. Urner, OXFORDphysics, Oxford, Oxon; J. S. Wark, University of Oxford, Clarendon Laboratory, Oxford","OPALS: The Oxford Plasma Accelerator Light Source Project",163 166,
thaau01,"G. Pile, J. L. Bailey, T. Barsz, W. Berg, J. T. Collins, P. K. Den Hartog, H. W. Friedsam, M. S. Jaski, S.-H. Lee, R. M. Lill, E. R. Moog, J. W. Morgan, ANL, Argonne, Illinois; H.-D. Nuhn, SLAC, Menlo Park, California; S. Sasaki, S. E. Shoaf, L. Skubal, S. J. Stein, W. F. Toter, E. Trakhtenberg, I. Vasserman, D. R. Walters, M. White, G. E. Wiemerslage, J. Z. Xu, B. X. Yang, ANL, Argonne, Illinois","Design and Construction of the Linac Coherent Light Source (LCLS) Undulator System",460 466,
thaau02,"J. Teichert, A. Arnold, H. Buettig, D. Janssen, M. Justus, FZD, Dresden; T. Kamps, BESSY GmbH, Berlin; G. Klemz, MBI, Berlin; U. Lehnert, P. Michel, P. Murcek, FZD, Dresden; J. Rudolph, BESSY GmbH, Berlin; A. Schamlott, FZD, Dresden; M. Schenk, BESSY GmbH, Berlin; Ch. Schneider, R. Schurig, F. Staufenbiel, FZD, Dresden; I. Will, MBI, Berlin; R. Xiang, FZD, Dresden","Initial Commissioning Experience with the Superconducting RF Photoinjector at ELBE",467 472,
thaau03,"R. Kinjo, K. Higashimura, Kyoto IAE, Kyoto; Y. U. Jeong, KAERI, Daejon; T. Kii, K. Masuda, K. Nagasaki, H. Ohgaki, H. Zen, Kyoto IAE, Kyoto","A Bulk High-Tc Superconductor Staggered Array Undulator",473 476,
thaau04,"J. D. Jarvis, H. L. Andrews, C. A. Brau, B. K. Choi, J. L. Davidson, W. P. Kang, S. Raina, Y. M. Wong, Vanderbilt University, Nashville, Tennessee","Development of Diamond Field-Emitter Arrays for Free-Electron Lasers",477 480,
thaau05,"C. H. Boulware, DESY Zeuthen, Zeuthen; W. Ackermann, E. Arevalo, TEMF, TU Darmstadt, Darmstadt; G. Asova, J. W. Baehr, DESY Zeuthen, Zeuthen; K. Floettmann, DESY, Hamburg; T. Garvey, PSI, Villigen; H.-J. Grabosch, L. Hakobyan, M. Hänel, Ye. Ivanisenko, S. Khodyachykh, M. K. Khojoyan, DESY Zeuthen, Zeuthen; G. Klemz, MBI, Berlin; S. A. Korepanov, M. Krasilnikov, DESY Zeuthen, Zeuthen; S. Lederer, DESY, Hamburg; P. M. Michelato, L. Monaco, C. Pagani, INFN/LASA, Segrate (MI); B. Petrosyan, DESY Zeuthen, Zeuthen; D. Reschke, DESY, Hamburg; R. Richter, BESSY GmbH, Berlin; S. Rimjaem, DESY Zeuthen, Zeuthen; J. Roensch, Uni HH, Hamburg; K. Rosbach, Humboldt University Berlin, Institut für Physik, Berlin; T. A. Scholz, DESY Zeuthen, Zeuthen; D. Sertore, INFN/LASA, Segrate (MI); A. Shapovalov, R. Spesyvtsev, L. Staykov, F. Stephan, DESY Zeuthen, Zeuthen; I. Will, MBI, Berlin","Latest Results at the Upgraded PITZ Facility",481 484,
thbau01,"H. Loos, R. Akre, A. Brachmann, F.-J. Decker, Y. T. Ding, D. Dowell, P. Emma, J. C. Frisch, A. Gilevich, G. R. Hays, P. Hering, Z. Huang, R. H. Iverson, C. Limborg-Deprey, A. Miahnahri, S. Molloy, H.-D. Nuhn, SLAC, Menlo Park, California; D. F. Ratner, Stanford University, Stanford, Califormia; J. L. Turner, J. J. Welch, W. E. White, J. Wu, SLAC, Menlo Park, California","Observation of Coherent Optical Transition Radiation in the LCLS Linac",485 489,
thbau02,"F. Loehl, V. R. Arsov, DESY, Hamburg; C. Behrens, Uni HH, Hamburg; M. Felber, L. Froehlich, K. E. Hacker, DESY, Hamburg; W. Jalmuzna, TUL-DMCS, Lodz; B. Lorbeer, F. Ludwig, K.-H. Matthiesen, H. Schlarb, B. Schmidt, DESY, Hamburg; S. Schulz, Uni HH, Hamburg; J. Szewinski, The Andrzej Soltan Institute for Nuclear Studies, Centre Swierk, Swierk/Otwock; S. Wesch, Uni HH, Hamburg; A. Winter, DESY, Hamburg; J. Zemella, Uni HH, Hamburg","Observation of 40 fs Synchronization of Electron Bunches for FELs",490 493,
thbau03,"F. X. Kaertner, J. Chen, J. Cox, J. Kim, MIT, Cambridge, Massachusetts","Femtosecond Synchronization of Large-Scale X-ray Free Electron Lasers",494 496,
thbau04,"S. Khan, Uni HH, Hamburg; G. Angelova, Uppsala University, Uppsala; J. Boedewadt, Uni HH, Hamburg; M. Larsson, Stockholm University, Department of Physics, Stockholm; F. Loehl, DESY, Hamburg; A. Meseck, BESSY GmbH, Berlin; E. Saldin, DESY, Hamburg; P. M. Salen, FYSIKUM, AlbaNova, Stockholm University, Stockholm; H. Schlarb, E. Schneidmiller, A. Winter, M. V. Yurkov, DESY, Hamburg; V. G. Ziemann, Uppsala University, Uppsala; P. van der Meulen, FYSIKUM, AlbaNova, Stockholm University, Stockholm","Results from the Optical Replica Experiments at FLASH",497 500,
