FOAA001,"M.A.C. Cummings, Northern Illinois University, DeKalb, Illinois","New Technology in Hydrogen Absorbers for Muon Cooling Channels",
TPAE017,"C.-J. Jing, W. Gai, ANL, Argonne, Illinois; S.H. Gold, NRL, Washington, DC; A.K. Kinkead, , ; R. Konecny, J.G. Power, ANL, Argonne, Illinois","Progress on High Power Tests of Dielectric-Loaded Accelerating Structures",
TPAE018,"C.-J. Jing, W. Gai, ANL, Argonne, Illinois; A. Kanareykin, Euclid TechLabs, LLC, Solon, Ohio; W. Liu, J.G. Power, ANL, Argonne, Illinois","34.272 GHz Multilayered Dielectric-Loaded Accelerating Structure",
TPAE019,"W. Leemans, LBNL, Berkeley, California; T.E. Cowan, University of Nevada, Reno, Reno, Nevada; E. Esarey, LBNL, Berkeley, California; C. Filip, University of Nevada, Reno, Reno, Nevada; C.G.R. Geddes, LBNL, Berkeley, California; A.J. Gonsalves, S.M. Hooker, OXFORDphysics, Oxford, Oxon; E. Michel, University of Nevada, Reno, Reno, Nevada; P. Michel, B. Nagler, K. Nakamura, C.B. Schroeder, LBNL, Berkeley, California; D. J. Spence, OXFORDphysics, Oxford, Oxon; C. Toth, J. Van Tilborg, LBNL, Berkeley, California","Experimental Progress on a 1 GeV Laser Accelerator at LBNL",
TPAE021,"B. Nagler, LBNL, Berkeley, California; T.E. Cowan, University of Nevada, Reno, Reno, Nevada; E. Esarey, C. Filip, C.G.R. Geddes, LBNL, Berkeley, California; A.J. Gonsalves, S.M. Hooker, OXFORDphysics, Oxford, Oxon; W. Leemans, LBNL, Berkeley, California; D. J. Spence, OXFORDphysics, Oxford, Oxon; C. Toth, LBNL, Berkeley, California","Laser Guiding of a 100 TW Laser Beam in a Capillary Discharge Waveguide",
TPAE022,"K.R. Samokhvalova, C. Chen, MIT/PSFC, Cambridge, Massachusetts; B.L. Qian, National University of Defense Technology, Hunan","Analytical and Numerical Calculations of Two-Dimensional Dielectric Photonic Band Gap Structures and Cavities for Laser Acceleration",
TPAE023,"M.A. Shapiro, MIT/PSFC, Cambridge, Massachusetts; G. Shvets, The University of Texas at Austin, Austin, Texas; J.R. Sirigiri, R.J. Temkin, MIT/PSFC, Cambridge, Massachusetts","3D Metallic Lattices for Accelerator Applications",
TPAE024,"C.D. Barnes, SLAC, Menlo Park, California; C.E. Clayton, UCLA, Los Angeles, California; F.-J. Decker, SLAC, Menlo Park, California; S. Deng, USC, Los Angeles, California; P. Emma, M.J. Hogan, SLAC, Menlo Park, California; C. Huang, UCLA, Los Angeles, California; R.H. Iverson, SLAC, Menlo Park, California; D.K. Johnson, C. Joshi, UCLA, Los Angeles, California; T.C. Katsouleas, USC, Los Angeles, California; P. Krejcik, SLAC, Menlo Park, California; W. Lu, K.A. Marsh, UCLA, Los Angeles, California; P. Muggli, USC, Los Angeles, California; C.L. O'Connell, SLAC, Menlo Park, California; E. Oz, USC, Los Angeles, California; R. Siemann, D.R. Walz, SLAC, Menlo Park, California","Determination of Longitudinal Phase Space in SLAC Main Accelerator Beams",
TPAE025,"C.L. O'Connell, C.D. Barnes, SLAC, Menlo Park, California; C.E. Clayton, UCLA, Los Angeles, California; F.-J. Decker, SLAC, Menlo Park, California; S. Deng, USC, Los Angeles, California; M.J. Hogan, SLAC, Menlo Park, California; C. Huang, UCLA, Los Angeles, California; R.H. Iverson, SLAC, Menlo Park, California; D.K. Johnson, C. Joshi, UCLA, Los Angeles, California; T.C. Katsouleas, USC, Los Angeles, California; P. Krejcik, SLAC, Menlo Park, California; W. Lu, K.A. Marsh, W.B. Mori, UCLA, Los Angeles, California; P. Muggli, E. Oz, USC, Los Angeles, California; R. Siemann, D.R. Walz, SLAC, Menlo Park, California; M. Zhou, UCLA, Los Angeles, California","Field Ionization of Neutral Lithium Vapor using a 28.5 GeV Electron Beam",
TPAE026,"R. Siemann, A. Chao, SLAC, Menlo Park, California","Wakefields in a Dielectric Tube with Frequency Dependent Dielectric Constant",
TPAE027,"J.E. Spencer, Y.A. Hussein, SLAC, Menlo Park, California","Calculations for Tera-Hertz (THz) Radiation Sources",
TPAE028,"J.E. Spencer, E.R. Colby, R.J. Noble, D.T. Palmer, R. Siemann, SLAC, Menlo Park, California","Beam Dynamics Studies for a Laser Acceleration Experiment",
TPAE029,"C.M.S. Sears, SLAC, Menlo Park, California; R.L. Byer, Stanford University, Stanford, Califormia; E.R. Colby, B.M. Cowan, SLAC, Menlo Park, California; T. Plettner, Stanford University, Stanford, Califormia; R. Siemann, J.E. Spencer, SLAC, Menlo Park, California","High-Harmonic Inverse Free-Electron-Laser Interaction at 800 nm",
TPAE030,"Z. Zhang, R.D. Ruth, S.G. Tantawi, SLAC, Menlo Park, California","Distributed Bragg Coupler for Optical All-Dielectric Electron Accelerator",
TPAE031,"R. Giacone, D.L. Bruhwiler, J.R. Cary, D.A. Dimitrov, Tech-X, Boulder, Colorado; E. Esarey, C.G.R. Geddes, W. Leemans, LBNL, Berkeley, California; P. Messmer, Tech-X, Boulder, Colorado","Simulations of Laser Pulse Coupling and Transmission Efficiency in Plasma Channels",
TPAE032,"P. Messmer, D.L. Bruhwiler, D.A. Dimitrov, Tech-X, Boulder, Colorado; E. Esarey, C.G.R. Geddes, W. Leemans, LBNL, Berkeley, California; P. Stoltz, Tech-X, Boulder, Colorado","Particle-in-Cell Simulations of Lower-Density CM-Scale Capillary Channels",
TPAE033,"P. Schoessow, Tech-X, Boulder, Colorado; A. Kanareykin, Euclid TechLabs, LLC, Solon, Ohio","Experimental and Numerical Studies of Particle Acceleration by an Active Microwave Medium",
TPAE034,"S. Deng, T.C. Katsouleas, USC, Los Angeles, California; W.B. Mori, UCLA, Los Angeles, California; X. Wang, USC, Los Angeles, California","Developing a Multi-Timescale PIC Code for Plasma Accelerators",
TPAE037,"P. Piot, Fermilab, Batavia, Illinois; A.C. Melissinos, R. Tikhoplav, Rochester University, Rochester, New York","Simulation of the Laser Acceleration Experiment at the Femilab/NICADD Photoinjector Laboratory",
TPAE038,"F.S. Tsung, R. Fenseca, C. Joshi, W. Lu, W.B. Mori, L.O. Silva, M. Tzoufras, UCLA, Los Angeles, California","Particle-in-Cell Simulation of LWFA Using 50 fs Pulses in Guided and Unguided Plasmas",
TPAE039,"J.B. Rosenzweig, A.M. Cook, M.C. Thompson, R.B. Yoder, UCLA, Los Angeles, California","The Effects of Ion Motion in Very Intense Beam-Driven Plasma Wakefield Accelerators",
TPAE040,"W. Lu, R. Fenseca, C. Huang, UCLA, Los Angeles, California; T.C. Katsouleas, USC, Los Angeles, California; W.B. Mori, L.O. Silva, F.S. Tsung, M. Tzoufras, M. Zhou, UCLA, Los Angeles, California","Nonlinear Theory in the Blowout Regime for Both Particle Beam and Laser Drivers",
TPAE041,"C. Huang, UCLA, Los Angeles, California; C.D. Barnes, SLAC, Menlo Park, California; C.E. Clayton, UCLA, Los Angeles, California; F.-J. Decker, SLAC, Menlo Park, California; S. Deng, USC, Los Angeles, California; M.J. Hogan, R.H. Iverson, SLAC, Menlo Park, California; D.K. Johnson, C. Joshi, UCLA, Los Angeles, California; T.C. Katsouleas, USC, Los Angeles, California; W. Lu, W.B. Mori, UCLA, Los Angeles, California; P. Muggli, E. Oz, USC, Los Angeles, California; M. Zhou, UCLA, Los Angeles, California","Modeling TeV Class Plasma Afterburners",
TPAE042,"K.A. Marsh, UCLA, Los Angeles, California; C.D. Barnes, SLAC, Menlo Park, California; C.E. Clayton, UCLA, Los Angeles, California; F.-J. Decker, SLAC, Menlo Park, California; S. Deng, USC, Los Angeles, California; M.J. Hogan, SLAC, Menlo Park, California; C. Huang, UCLA, Los Angeles, California; R.H. Iverson, SLAC, Menlo Park, California; D.K. Johnson, C. Joshi, UCLA, Los Angeles, California; T.C. Katsouleas, USC, Los Angeles, California; P. Krejcik, SLAC, Menlo Park, California; W. Lu, W.B. Mori, UCLA, Los Angeles, California; P. Muggli, USC, Los Angeles, California; C.L. O'Connell, SLAC, Menlo Park, California; E. Oz, USC, Los Angeles, California; R. Siemann, D.R. Walz, SLAC, Menlo Park, California; M. Zhou, UCLA, Los Angeles, California","Beam Matching to a Plasma Wake Field Accelerator Using a Ramped Density Profile at the Plasma Boundary",
TPAE043,"J.E. Ralph, C. Joshi, J.B. Rosenzweig, C. Sung, S. Tochitsky, UCLA, Los Angeles, California","Production of Terahertz Seed Radiation for FEL/IFEL Microbunchers for Second Generation Plasma Beatwave Experiments at Neptune",
TPAE044,"C. Sung, C.E. Clayton, C. Joshi, P. Musumeci, C. Pellegrini, J.E. Ralph, S. Reiche, J.B. Rosenzweig, S. Tochitsky, UCLA, Los Angeles, California","Terahertz IFEL/FEL Microbunching for Plasma Beatwave Accelerators",
TPAE045,"M. Tzoufras, S. Fonseca, W. Lu, W.B. Mori, L.O. Silva, F.S. Tsung, UCLA, Los Angeles, California","Is it Possible To Generate nC, Mono-Energetic Electron Beams at 1GeV and Beyond Using Existing or Near Term Lasers via LWFA?",
TPAE046,"M. Zhou, C.E. Clayton, UCLA, Los Angeles, California; F.-J. Decker, SLAC, Menlo Park, California; V.K. Decyk, UCLA, Los Angeles, California; S. Deng, USC, Los Angeles, California; C. Huang, UCLA, Los Angeles, California; R.H. Iverson, SLAC, Menlo Park, California; D.K. Johnson, C. Joshi, UCLA, Los Angeles, California; T.C. Katsouleas, USC, Los Angeles, California; W. Lu, W.B. Mori, UCLA, Los Angeles, California; P. Muggli, USC, Los Angeles, California; C.L. O'Connell, SLAC, Menlo Park, California; E. Oz, USC, Los Angeles, California; F.S. Tsung, UCLA, Los Angeles, California; D.R. Walz, SLAC, Menlo Park, California","Modeling Self-Ionized Plasma Wakefield Acceleration for Afterburner Parameters Using QuickPIC",
TPAE047,"L.H. Shao, D. Cline, F. Zhou, UCLA, Los Angeles, California","Parameters Optimization for a Novel Vacuum Laser Acceleration Test at BNL-ATF",
TPAE048,"M.C. Thompson, H. Badakov, UCLA, Los Angeles, California; H. Edwards, R.P. Fliller, G.M. Kazakevich, Fermilab, Batavia, Illinois; J.L. Li, Rochester University, Rochester, New York; P. Piot, Fermilab, Batavia, Illinois; J.B. Rosenzweig, UCLA, Los Angeles, California; J.K. Santucci, Fermilab, Batavia, Illinois; R. Tikhoplav, Rochester University, Rochester, New York; G. Travish, UCLA, Los Angeles, California","The UCLA/FNPL Time Resolved Underdense Plasma Lens Experiment",
TPAE049,"M.C. Thompson, H. Badakov, UCLA, Los Angeles, California; M.J. Hogan, R. Ischebeck, SLAC, Menlo Park, California; P. Muggli, USC, Los Angeles, California; J.B. Rosenzweig, UCLA, Los Angeles, California; A. Scott, UCSB, Santa Barbara, California; R. Siemann, SLAC, Menlo Park, California; G. Travish, UCLA, Los Angeles, California; D.R. Walz, SLAC, Menlo Park, California; R.B. Yoder, ,","The UCLA/SLAC Ultra-High Gradient Cerenkov Wakefield Accelerator Experiment",
TPAE051,"G.R. Werner, CIPS, Boulder, Colorado; J.R. Cary, Tech-X, Boulder, Colorado","Designing Photonic Crystal Devices for Accelerators",
TPAE053,"N. Hafz, KERI, Changwon; D.-K. Ko, J. Lee, APRI-GIST, Gwangju; H. Suk, KERI, Changwon","Near-GeV Electron Beams from the Laser Wakefield Accelerator in the Bubble Regime",
TPAE054,"M.S. Hur, KERI, Changwon; A.E. Charman, LBNL, Berkeley, California; G.-H. Kim, KERI, Changwon; R.R. Lindberg, LBNL, Berkeley, California; H. Suk, KERI, Changwon; J.S. Wurtele, LBNL, Berkeley, California","Ultraintense and Ultrashort Laser Pulses from Raman Amplification in Plasma for Laser-Plasma Accelerators",
TPAE055,"G.-H. Kim, KERI, Changwon; I. W. Choi, APRI-GIST, Gwangju; N. Hafz, KERI, Changwon; D.-K. Ko, J. Lee, APRI-GIST, Gwangju; H. Suk, KERI, Changwon; T.J. Yu, APRI-GIST, Gwangju","Laser-Based Electron Acceleration Experiment in KERI/APRI-GIST",
TPAE056,"U. Schramm, LMU, München; S. Becker, M. Geissler, MPQ, Garching, Munich; F. Gruener, D. Habs, LMU, München; S. Karsch, F. Krausz, J. Meyer-ter-Vehn, K. Schmid, MPQ, Garching, Munich; J. Schreiber, LMU, München; G. Tsakiris, L. Veisz, K. Witte, MPQ, Garching, Munich","Acceleration of Charged Particles by High Intensity Few-Cycle Laser Pulses",
TPAE057,"E.K. Kallos, USC, Los Angeles, California; M. Babzien, I. Ben-Zvi, BNL, Upton, Long Island, New York; T.C. Katsouleas, USC, Los Angeles, California; W.D. Kimura, STI, Washington; K. Kusche, BNL, Upton, Long Island, New York; P. Muggli, USC, Los Angeles, California; P.I. Pavlishin, I. Pogorelsky, V. Yakimenko, BNL, Upton, Long Island, New York; F. Zhou, UCLA, Los Angeles, California","A Multibunch Plasma Wakefield Accelerator",
TPAE058,"E. Oz, USC, Los Angeles, California; C.D. Barnes, SLAC, Menlo Park, California; C.E. Clayton, UCLA, Los Angeles, California; F.-J. Decker, SLAC, Menlo Park, California; S. Deng, USC, Los Angeles, California; M.J. Hogan, SLAC, Menlo Park, California; C. Huang, UCLA, Los Angeles, California; R.H. Iverson, SLAC, Menlo Park, California; D.K. Johnson, C. Joshi, UCLA, Los Angeles, California; T.C. Katsouleas, USC, Los Angeles, California; P. Krejcik, SLAC, Menlo Park, California; W. Lu, K.A. Marsh, W.B. Mori, UCLA, Los Angeles, California; P. Muggli, USC, Los Angeles, California; C.L. O'Connell, R. Siemann, D.R. Walz, SLAC, Menlo Park, California; M. Zhou, UCLA, Los Angeles, California","Plasma Dark Current in Self-ionized Plasma Wake Field Accelerators (PWFA)",
TPAE060,"A. Kanareykin, Euclid TechLabs, LLC, Solon, Ohio; P.A. Avrakhov, LPI, Moscow; W. Gai, C.-J. Jing, R. Konecny, J.G. Power, ANL, Argonne, Illinois","Planned Enhanced Wakefield Transformer Ratio Experiment at Argonne Wakefield Accelerator",
TPAE061,"A. Kanareykin, Euclid TechLabs, LLC, Solon, Ohio; W. Gai, ANL, Argonne, Illinois; S.F. Karmanenko, Eltech University, St. Petersburg; E. Nenasheva, Ceramics Ltd., St. Petersburg; J.G. Power, ANL, Argonne, Illinois; P. Schoessow, Tech-X, Boulder, Colorado; A. Semenov, Eltech University, St. Petersburg","Experimental Investigation of an X-Band Tunable Dielectric Accelerating Structure",
TPAE063,"S.V. Shchelkunov, Columbia University, New York; M. Babzien, BNL, Upton, Long Island, New York; J.L. Hirshfield, M.A. LaPointe, Yale University, Physics Department, New Haven, CT; T.C. Marshall, Columbia University, New York","Observation of Superposition of Wake Fields Generated by Electron Bunches in a Dielectric-Lined Waveguide",
TPAE064,"S.-Y. Chen, C.-L. Chang, W.-T. Chen, T.-Y. Chien, C.-H. Lee, J.-Y. Lin, J. Wang, IAMS, Taipei","Externally Controlled Injection of Electrons by a Laser Pulse in a Laser Wakefield Electron Accelerator",
TPAE065,"S.H. Gold, NRL, Washington, DC; H. Chen, TUB, Beijing; W. Gai, ANL, Argonne, Illinois; Y. Hu, TUB, Beijing; C.-J. Jing, ANL, Argonne, Illinois; A.K. Kinkead, , ; R. Konecny, ANL, Argonne, Illinois; Y. Lin, TUB, Beijing; C.D. Nantista, SLAC, Menlo Park, California; J.G. Power, ANL, Argonne, Illinois; C. Tang, TUB, Beijing; S.G. Tantawi, SLAC, Menlo Park, California","Development of a 20-MeV Dielectric-Loaded Accelerator Test Facility",
TPAE066,"A.E. Charman, UCB, Berkeley, California; L. Friedland, The Hebrew University of Jerusalem, The Racah Institute of Physics, Jerusalem; R.R. Lindberg, J.S. Wurtele, UCB, Berkeley, California","Robust Autoresonant Excitation in the Plasma Beat-Wave Accelerator: A Theoretical Study",
TPAE067,"D. Xiang, TUB, Beijing; H. Ihee, KAIST, Daejeon; I.S. Ko, S.J. Park, PAL, Pohang, Kyungbuk; X.J. Wang, BNL, Upton, Long Island, New York","Femtosecond Electron Diffraction and its Application for Beam Characterization at the PAL",
TPAP002,"R.V. Dostovalov, V.V. Anashin, A.A. Krasnov, BINP SB RAS, Novosibirsk","Summary of Recent Studies of Cryosorbers for LHC Long Straight Sections",
TPAP003,"J. Resta, IFIC, Valencia; R.W. Assmann, CERN, Geneva; A. Faus-Golfe, IFIC, Valencia; S. Redaelli, G. Robert-Demolaize, D. Schulte, F. Zimmermann, CERN, Geneva","Exploring a Nonlinear Collimation System for the LHC",
TPAP004,"A. Bertarelli, O. Aberle, R.W. Assmann, S. Calatroni, A. Dallocchio, T. Kurtyka, M. Mayer, R. Perret, S. Redaelli, G. Robert-Demolaize, CERN, Geneva","Mechanical Design for Robustness of the LHC Collimators",
TPAP005,"M. Brugger, O. Aberle, R.W. Assmann, D. Forkel-Wirth, H.G. Menzel, S. Roesler, H. Vincke, CERN, Geneva","Calculation of Residual Dose Rates and Intervention Scenarios for the LHC Beam Cleaning Insertions--Constraints and Optimization",
TPAP006,"S. Redaelli, O. Aberle, R.W. Assmann, A.M. Masi, G. Spiezia, CERN, Geneva","Detecting Impacts of Proton Beams on the LHC Collimators with Vibration and Sound Measurements",
TPAP007,"R.W. Assmann, O. Aberle, G. Arduini, CERN, Geneva; I. Baishev, IHEP Protvino, Protvino, Moscow Region; A. Bertarelli, H.-H. Braun, M. Brugger, H. Burkhardt, S. Calatroni, F. Caspers, E. Chiaveri, A. Dallocchio, B. Dehning, A. Ferrari, M. Gasior, A. Grudiev, E.B. Holzer, J.-B. Jeanneret, J.M. Jimenez, Y. Kadi, CERN, Geneva; I.L. Kurochkin, IHEP Protvino, Protvino, Moscow Region; R. Losito, M. Magistris, A.M. Masi, M. Mayer, E. Métral, R. Perret, C. Rathjen, S. Redaelli, G. Robert-Demolaize, S. Roesler, M. Santana-Leitner, D. Schulte, P. Sievers, CERN, Geneva; G. Spiezia, Naples University Federico II, Science and Technology Pole, Napoli; E. Tsoulou, H. Vincke, V. Vlachoudis, J. Wenninger, CERN, Geneva","LHC Collimation: Design and Results from Prototyping and Beam Tests",
TPAP008,"H. Burkhardt, G. Arduini, R.W. Assmann, F. Caspers, M. Gasior, A. Grudiev, O.R. Jones, T. Kroyer, E. Métral, S. Redaelli, G. Robert-Demolaize, F. Roncarolo, D. Schulte, R.J. Steinhagen, J. Wenninger, F. Zimmermann, CERN, Geneva","Measurements of the LHC Collimator Impedance with Beam in the SPS",
TPAP009,"H. Burkhardt, B. Goddard, Y. Kadi, V. Kain, T. Risselada, W.J.M. Weterings, CERN, Geneva","Collimation in the Transfer Lines to the LHC",
TPAP010,"R. Filippini, E. Carlier, L. Ducimetière, B. Goddard, J.A. Uythoven, CERN, Geneva","Reliability Analysis of the LHC Beam Dumping System",
TPAP011,"R. Filippini, B. Dehning, G. Guaglio, F. Rodriguez-Mateos, R. Schmidt, B. Todd, J.A. Uythoven, A. Vergara-Fernández, M. Zerlauth, CERN, Geneva","Reliability Assessment of the LHC Machine Protection System",
TPAP012,"J.M. Jowett, R. Bruce, S.S. Gilardoni, CERN, Geneva","Luminosity Limit from Bound-Free Pair Production in the LHC",
TPAP013,"A. Presland, B. Goddard, W.J.M. Weterings, CERN, Geneva","The Performance of the New TCDQ System in the LHC Beam Dumping Region",
TPAP014,"M. Santana-Leitner, R.W. Assmann, A. Ferrari, M. Magistris, E. Tsoulou, V. Vlachoudis, CERN, Geneva","Energy Deposition Studies for the Betatron Cleaning Insertion (IR7) of LHC",
TPAP015,"J.A. Uythoven, G. Arduini, CERN, Geneva; Y.-C. Chao, Jefferson Lab, Newport News, Virginia; B. Goddard, D. Jacquet, V. Kain, M. Lamont, V. Mertens, A. Spinks, J. Wenninger, CERN, Geneva","Commissioning of the LHC Beam Transfer Line TI 8",
TPAP016,"J. Wenninger, G. Arduini, C. Arimatea, T. Bohl, P. Collier, K. Cornelis, CERN, Geneva","Energy Calibration of the SPS with Proton and Lead Ion Beams",
TPAP017,"J. Wenninger, B. Goddard, V. Kain, J.A. Uythoven, CERN, Geneva","Beam Stability of the LHC Beam Transfer Line TI8",
TPAP018,"J. Wenninger, G. Arduini, CERN, Geneva; Y.-C. Chao, Jefferson Lab, Newport News, Virginia; B. Goddard, D. Jacquet, V. Kain, M. Lamont, V. Mertens, J.A. Uythoven, CERN, Geneva","Optics Studies of the LHC Beam Transfer Line TI8",
TPAP019,"B. Goddard, V. Kain, CERN, Geneva; R. Schmid, Bowdoin College, Brunswick, Maine; J. Wenninger, CERN, Geneva","Aperture Studies of the SPS to LHC Transfer Lines",
TPAP020,"M. Deile, E. Alagoz, G.M. Anelli, G.A. Antchev, CERN, Geneva; V. Avati, Helsinki University, Department of Physics, University of Helsinki; M. Ayache, CERN, Geneva; V. Berardi, INFN-Bari, Bari; V. Boccone, M. Bozzo, A. Buzzo, INFN Genova, Genova; F. Caspers, CERN, Geneva; M.G. Catanesi, INFN-Bari, Bari; S. Cuneo, INFN Genova, Genova; C. Da Vià, Brunel University, Middlesex; E. Dimovasili, R. Dinapoli, F.D. Drouhin, K. Eggert, L. Escourrou, CERN, Geneva; F. Ferro, INFN Genova, Genova; O. Fochler, K. Gill, R. Grabit, CERN, Geneva; J. Hasi, Brunel University, Middlesex; F. Haug, P. Jarron, CERN, Geneva; M. Järvinen, M. Kalliokoski, J. Kalliopuska, Helsinki University, Department of Physics, University of Helsinki; J. Kaplon, CERN, Geneva; J. Kasper, FZU, Prague; A. Kok, Brunel University, Middlesex; T. Kroyer, CERN, Geneva; V. Kundrât, FZU, Prague; K. Kurvinen, R. Lauhakangas, Helsinki University, Department of Physics, University of Helsinki; M. V. Lokajicek, FZU, Prague; T. Luntama, D. Macina, CERN, Geneva; M. Macri, INFN Genova, Genova; E. Mattelon, CERN, Geneva; S. Minutoli, INFN Genova, Genova; L. Mirabito, CERN, Geneva; A. Morelli, P. Musico, M. Negri, INFN Genova, Genova; H. Niewiadomski, E.P. Noschis, CERN, Geneva; F. Oljemark, R. Orava, Helsinki University, Department of Physics, University of Helsinki; M. Oriunno, CERN, Geneva; V. Palmieri, Helsinki University, Department of Physics, University of Helsinki; A. Park, A.-L. Perrot, O. Pirotte, J.M. Quetsch, CERN, Geneva; E. Radicioni, INFN-Bari, Bari; F. Regnier, G. Ruggiero, CERN, Geneva; H. Saarikko, Helsinki University, Department of Physics, University of Helsinki; A. Santroni, INFN Genova, Genova; S. Saramad, CERN, Geneva; G. Sette, INFN Genova, Genova; P. Siegrist, CERN, Geneva; J. Smotlacha, FZU, Prague; W. Snoeys, CERN, Geneva; A. Sobol, INFN Genova, Genova; A. Soininen, Helsinki University, Department of Physics, University of Helsinki; T. Souissi, R. Szczygiel, J. Troska, F. Vasey, A. Verdier, CERN, Geneva; S. Watts, Brunel University, Middlesex; K. Österberg, Helsinki University, Department of Physics, University of Helsinki","Tests of a Roman Pot Prototype for the TOTEM Experiment",
