fra001,"M. Boyes, SLAC, Menlo Park, California; T. A. Pelaia, ORNL, Oak Ridge, Tennessee","Introducing CAML II",922 924,
thp073,"E. C. Williams, M. J. Bennett, A. Biocca, T. Scarvie, C. Steier, LBNL, Berkeley, California","Implementation of a Fast Orbit Feedback System at the ALS",806 808,
thp074,"E. J. Wolin, D. Abbott, JLAB, Newport News, Virginia; W. Gu, Thomas Jefferson National Accelerator Facility (JLAB), Newport News, Virginia; V. H. Gyurjyan, W. G. Heyes, E. Jastrzembski, D. Lawrence, JLAB, Newport News, Virginia; B. Moffitt, Thomas Jefferson National Accelerator Facility (JLAB), Newport News, Virginia; C. Timmer, JLAB, Newport News, Virginia","Decoupling Control System Components Using Asynchronous Publish/Subscribe Middleware",809 811,
thp075,"C. K. Allen, T. A. Pelaia, A. P. Shishlo, ORNL, Oak Ridge, Tennessee","XAL Status Report - FALL 2009",812 814,
thp076,"N. Xiong, P. Hathaway, N. Hauser, T. K. Lam, ANSTO, Menai, New South Wales","Multi-platform Processor Framework for Data Analysis, Data Acquisition and Simulation",815 817,
thp077,"Q. Gan, IHEP Beijing, Beijing; P. Chu, SLAC, Menlo Park, California; C. H. Wang, IHEP Beijing, Beijing","Study on a New Framework of the Accelerator Application Software Based on Eclipse",818 820,
thp078,"J. T.M. Chrin, G. Prekas, PSI, Villigen","A Taste of CAFE",821 823,
thp079,"S. Rubio-Manrique, T. Coutinho, R. Suñé, CELLS-ALBA Synchrotron, Cerdanyola del Vallès; E. T. Taurel, ESRF, Grenoble","Dynamic Attributes and Other Functional Flexibilities of PyTango",824 826,
thp080,"P. V. Verdier, ESRF, Grenoble","Re-Writing TANGO Code Generator Using openArchitectureWare Technology",827 829,
thp081,"R. Neswold, C. King, Fermilab, Batavia","Extending ACNET Communication Types to Include Multicast Semantics",830 831,
thp082,"C. K. Allen, ORNL, Oak Ridge, Tennessee; M. Ikegami, KEK, Ibaraki; H. Sako, JAEA, Ibaraki-ken","RMS Envelope Back-Propagation in the XAL Online Model",832 834,
thp083,"J. O. Hill, LANL, Los Alamos, New Mexico","Lessons Learned Enhancing EPICS CA for LANSCE Timed and Flavored Data",835 837,
