fraa01,"R. Paparella [INFN/LASA, Segrate (MI), Italy] ","Overview of Recent Tuner Development on Elliptical and Low-Beta Cavities",1425 1431,
mopb060,"T. Xin [Stony Brook University, Stony Brook, USA] S.A. Belomestnykh, I. Ben-Zvi, J.C. Brutus, V. Litvinenko, I. Pinayev, J. Skaritka, Q. Wu, B. P. Xiao [BNL, Upton, Long Island, New York, USA] ","A GPU Based 3D Particle Tracking Code for Multipacting Simulation",242 245,
mopb061,"F. Marhauser, S.V. Benson, D. Douglas [JLab, Newport News, Virginia, USA] L.J.P. Ament [ASML US Inc., Wilton, CT, USA] ","Suppression of Upstream Field Emission in RF Accelerators",246 249,
mopb063,"C. Madec [CEA, Gif-sur-Yvette, France] N. Bazin, L. Boudjaoui, R. Cubizolles, G. Ferrand, P. Hardy, C. Pes, N. Sellami [CEA/IRFU, Gif-sur-Yvette, France] P. Bertrand [GANIL, Caen, France] P. Bredy (P. Brédy), B. Gastineau, N. Pichoff [CEA/DSM/IRFU, France] ","Design of the Superconducting LINAC for SARAF",250 254,
mopb065,"M. Busch, M. Amberg, M. Basten, F.D. Dziuba, H. Podlech, U. Ratzinger [IAP, Frankfurt am Main, Germany] M. Amberg [HIM, Mainz, Germany] ","Recent Measurements on the SC 325 MHz CH-Cavity",255 257,
mopb066,"M. Basten, M. Busch, F.D. Dziuba, D. Mäder, H. Podlech, M. Schwarz [IAP, Frankfurt am Main, Germany] M. Amberg, K. Aulenbacher, M. Miski-Oglu [HIM, Mainz, Germany] W.A. Barth, V. Gettmann, M. Heilmann, S. Mickat [GSI, Darmstadt, Germany] ","R&D Status of the New Superconducting CW Heavy Ion LINAC@GSI",258 261,
mopb067,"M. Miski-Oglu, M. Amberg, K. Aulenbacher, V. Gettmann [HIM, Mainz, Germany] W.A. Barth, M. Heilmann, S. Mickat, S. Yaramyshev [GSI, Darmstadt, Germany] M. Basten, D. Bänsch, F.D. Dziuba, H. Podlech, U. Ratzinger [IAP, Frankfurt am Main, Germany] ","Steps Towards Superconducting CW-LINAC for Heavy Ions at GSI",262 264,
mopb068,"P.N. Ostroumov, Z.A. Conway, B. Mustapha [ANL, Argonne, USA] B. Erdelyi [Northern Illinois University, DeKalb, Illinois, USA] ","Pulsed SC Ion Linac as an Injector to Booster of Electron Ion Collider",265 267,
mopb069,"S.-H. Kim, M. Doleans, J. Galambos, M.P. Howell [ORNL, Oak Ridge, Tennessee, USA] J.D. Mammosser [ORNL RAD, Oak Ridge, Tennessee, USA] ","Superconducting Linac Upgrade Plan for the Second Target Station Project at SNS",268 271,
mopb070,"J.Y. Zhai, J. Gao, T.M. Huang, Z.C. Liu, Z.H. Mi, P. Sha, Y. Sun, H.J. Zheng [IHEP, Beijing, People's Republic of China] S.A. Belomestnykh [BNL, Upton, Long Island, New York, USA] S.A. Belomestnykh [Stony Brook University, Stony Brook, USA] C. Pagani [INFN/LASA, Segrate (MI), Italy] C. Pagani [Università degli Studi di Milano  INFN, Segrate, Italy] ","Preliminary Conceptual Design of the CEPC SRF System",272 275,
mopb071,"R. Edinger [PAVAC, Richmond, B.C., Canada] R.E. Laxdal, L. Yang [TRIUMF, Canada's National Laboratory for Particle and Nuclear Physics, Vancouver, Canada] ","Technology Readiness Levels Applied to Current SRF Accelerator Technology for ADS",276 280,
mopb072,"A. Navitski, E. Elsen, V. Myronenko, J. Schaffran, O. Turkot [DESY, Hamburg, Germany] Y. Tamashevich [University of Hamburg, Institut fuer Experimentalphysik, Hamburg, Germany] ","Characterization of Surface Defects on EXFEL Series and ILC-Higrade Cavities",281 285,
mopb073,"A. Navitski, E. Elsen, B. Foster [DESY, Hamburg, Germany] B. Foster, A.L. Prudnikava, Y. Tamashevich [University of Hamburg, Institut fuer Experimentalphysik, Hamburg, Germany] ","Surface Analyses and Optimization of Centrifugal Barrel Polishing of Nb Cavities",286 290,
mopb074,"A. Macpherson, K.G. Hernández-Chahín, C. Jarrige, P. Maesen, F. Pillon, K.M. Schirm, R. Torres-Sanchez, N. Valverde Alonso [CERN, Geneva, Switzerland] K.G. Hernández-Chahín [DCI-UG, León, Mexico] ","CERN's Bulk Niobium High Gradient SRF Programme: Developments and Recent Cold Test Results",291 295,
mopb075,"A. Matheisen, N. Krupka, S. Saegebarth, P. Schilling, N. Steinhau-Kuehl (N. Steinhau-Kühl), B. van der Horst [DESY, Hamburg, Germany] ","Experiences on Retreatment of EU-XFEL Series Cavities at DESY",296 300,
mopb076,"C.G. Maiano, C. Albrecht, R. Bospflug, J. Branlard, L. Butkowski (Ł. Butkowski), T. Delfs, J. Eschke, A. Goessel (A. Gössel), F. Hoffmann, M. Huening (M. Hüning), K. Jensch, R. Jonas, R. Klos, D. Kostin, W. Maschmann, A. Matheisen, U. Mavric (U. Mavrič), W.-D. Moeller (W.-D. Möller), C. Mueller (C. Müller), K. Mueller, B. Petersen, P. Pierini, J. Rothenburg, O. Sawlanski, M. Schmoekel (M. Schmökel), A.A. Sulimov, E. Vogel [DESY, Hamburg, Germany] A. Bosotti, M. Moretti, R. Paparella, P. Pierini, D. Sertore [INFN/LASA, Segrate (MI), Italy] E.R. Harms [Fermilab, Batavia, Illinois, USA] C.R. Montiel [ANL, Argonne, Illinois, USA] S. Pivovarov [BINP SB RAS, Novosibirsk, Russia] ","Horizontal RF Test of a Fully Equipped 3.9 GHz Cavity for the European XFEL in the DESY AMTF",301 305,
mopb077,"D. Sertore, M. Bertucci, A. Bosotti, J.F. Chen, C.G. Maiano, P. Michelato, L. Monaco, M. Moretti, R. Paparella, P. Pierini [INFN/LASA, Segrate (MI), Italy] A. Matheisen, M. Schmoekel (M. Schmökel) [DESY, Hamburg, Germany] C. Pagani [Università degli Studi di Milano  INFN, Segrate, Italy] ","Vertical Tests of XFEL 3rd Harmonic Cavities",306 310,
