thiob02,"F. Orsini, N. Bazin, P. Bosland, P. Bredy, P. Carbonnier, P. Charon, G. Disset, N. Grouas, P. Hardy, V.M. Hennion, E. Jacques, H. Jenhani, J. Migne, Y. Penichot, J. Plouin, J. Relland, B. Renard, D. Roudier [CEA/IRFU, Gif-sur-Yvette, France] J. Calero, F.M. De Aragon, J.L. Gutierrez (Gutiérrez), I. Podadera, S. Sanz, F. Toral, J.G.S. de la Gama [CIEMAT, Madrid, Spain] E.N. Zaplatin [FZJ, Jülich, Germany] ","Vertical Tests Results of the IFMIF Cavity Prototypes and Cryomodule Development",667 673,
thiob03,"D. Leitner, D. Morris, S. Nash, G. Perdikakis, N.R. Usher [NSCL, East Lansing, Michigan, USA] C. Compton, A. Facco, M. Hodek, J. Popielarski, W. Wittmer, X. Wu, Q. Zhao [FRIB, East Lansing, Michigan, USA] ","Status of the ReAccelerator Facility RA for Rare Isotopes",674 679,
thiob04,"M.P. Kelly, Z.A. Conway, S.M. Gerbick, M. Kedzie, R.C. Murphy, B. Mustapha, P.N. Ostroumov, T. Reid [ANL, Argonne, USA] ","SRF Advances for ATLAS and other <1 Applications",680 683,
thiob05,N/A,N/A,99 98,
thiob06,N/A,N/A,99 98,
thiob07,N/A,N/A,99 98,
thiob08,N/A,N/A,99 98,
thpo001,"Y. Xie, M. Liepe, H. Padamsee [CLASSE, Ithaca, New York, USA] ","Quench Simulation Using a Ring-Type Defect Model",687 690,
thpo003,"D. Kostin, Th. Buettner, W.-D. Moeller (Möller), J.K. Sekutowicz [DESY, Hamburg, Germany] ","Multipacting in HOM Couplers at the 1.3GHz 9-cell TESLA Type SRF Cavity",691 694,
thpo004,"J. Halbritter [FZ Karlsruhe, Karlsruhe, Germany] ","Electro- or Chemical- Polishing and UHV Baking of Superconducting rf Nb Cavities and Q(H) Dependencies",695 697,
thpo005,"G.V. Eremeev [JLAB, Newport News, Virginia, USA] ","Exploration of Very High Gradient Cavities",698 701,
thpo006,"S. Aull, J. Knobloch, O. Kugeler [HZB, Berlin, Germany] ","Study of Trapped Magnetic Flux in Superconducting Niobium Samples",702 706,
thpo007,"Q. Wu, S.A. Belomestnykh, I. Ben-Zvi [BNL, Upton, Long Island, New York, USA] ","Novel Deflecting Cavity Design for eRHIC",707 709,
thpo008,"A. Romanenko, L.D. Cooley, G. Wu [Fermilab, Batavia, USA] G. Ciovati [JLAB, Newport News, Virginia, USA] ","Post-Baking Losses in Niobium Cavities Studied by Dissection",710 713,
thpo009,"S. Posen, M. Liepe, N.R.A. Valles [CLASSE, Ithaca, New York, USA] ","Quench Studies in Large and Fine Grain Nb Cavities",714 717,
thpo010,"S.A. Pande, M. Jensen [Diamond, Oxfordshire, United Kingdom] ","Multipactor Studies for DIAMOND Storage Ring Cavities",718 723,
thpo011,"O. Kugeler, W. Anders, J. Knobloch, A. Neumann [HZB, Berlin, Germany] ","Improving the Intrinsic Quality Factor of SRF Cavities by Thermal Cycling",724 727,
thpo012,"V.D. Shemelin, G.H. Hoffstaetter [CLASSE, Ithaca, New York, USA] ","Influence of Foreign Particles on the Quality Factor of a Superconducting Cavity",728 732,
