tu-70,"J.-M. Lagniel, CEN-Saclay, Gif-sur-Yvette, France; A.-C. Piquemal, CEA Limeil-Valenton, Villeneuve-St-Georges, France","On the Dynamics of Space-Charge Dominated Beams (Oral Poster)",529 531,
tu-72,"A. Mosnier, B. Aune, CEN-Saclay, Gif-sur-Yvette, France","Experimental Program with Beam in TESLA Test Facility",532 534,
tu-73,"Y. Ogawa, A. Enomoto, T. Kamitani, S. Ohsawa, I. Sato, KEK, Ibaraki, Japan","Wake-Field Issues Concerning the KEK B-Factory Injector Linac",535 537,
tu-74,"R.C. Pardo, P.J. Billquist, J.M. Bogaty, B.E. Clifft, R. Harkewicz, F.H. Munson, J.A. Nolen, K.W. Shepard, J.R. Specht, G. Zinkann, ANL, Argonne, Illinois, USA","Early Operational Experience with Uranium Beams at ATLAS (Oral Poster)",538 540,
tu-75,"M. Reiser, University of Maryland, College Park, Maryland, USA","Design of Equipartitioned High-Current RF Linacs",541 543,
tu-76,"H. Braun, F. Chautard, J.P. Delahaye, J.H.B. Madsen, A. Riche, L. Rinolfi, CERN, Geneva, Switzerland","Beam Dynamics for the CLIC Test Facility (Oral Poster)",544 546,
tu-77,"L.J. Rybarcyk, LANL, Los Alamos, New Mexico, USA","Method for Obtaining Proper Injection Steering into the LAMPF DTL",547 548,
tu-78,"R.R. Stevens, Jr., P. Schafstall, J.D. Schneider, J. Sherman, T. Zaugg, LANL, Los Alamos, New Mexico, USA; T. Taylor, Atomic Energy of Canada, Chalk River, Ontario, Canada","DC Proton Beam Measurements in a Single-Solenoid Low-Energy Beam Transport System",549 551,
tu-79,"P. Lapostolle, A.M. Lombardi, E. Tanke, D.J. Warner, CERN, Geneva, Switzerland; S. Valero, CEN-Saclay, Gif-sur-Yvette, France","A Modified Space Charge Routine for Linac Beam Dynamics Codes",552 554,
tu-80,"D.L. Bruhwiler, I.S. Lehrman, J. Rathke, M.F. Reusch, A.M.M. Todd, Grumman Research and Development Center, Princeton, New Jersey, USA","Detailed High-Current Beam Optics for Ions and Electrons",555 557,
tu-81,"I.A. Vorbjov, A.A. Kolomiets, ITEP, Moscow, Russia","Matching of RFQ Beam with Periodic Focusing Structures (Oral Poster)",558 560,
tu-82,"J.G. Wang, M. Reiser, University of Maryland, College Park, Maryland, USA","Localized Space Charge Waves for Beam Diagnostics",561 563,
tu-83,"A.S. Bogomolov, BINP, Novosibirsk, Russia","The Proposed Hospital-Based Proton Therapy Linear Accelerator",564 566,
tu-84,"K.W. Kakihara, A. Enomoto, G. Horikoshi, Y. Saito, I. Sato, KEK, Ibaraki, Japan","Pressure-Distribution Analysis of the Vacuum System for the KEKB Injector Linac",567 569,
tu-87,"S. Okada, H. Kaneko, H. Sunaga, H. Takizawa, K. Yotsumoto, JAERI/Takasaki, Gunma, Japan","Present Status of Design Study for the Positron Factory",570 572,
tu-88,"H. Omichi, M. Asano, M. Tamada, M. Yoshida, JAERI/Takasaki, Gunma, Japan; R. Katakai, Gunma University, Gunma, Japan; R. Spohr, Ch. Trautmann, J. Vetter, GSI, Darmstadt, Germany","Synthesis of Temperature-Responsive Particle Track Membranes with a Linac",573 575,
tu-89,"J.G. Alessi, A. Chanana, F.A. Dilmanian, Y.Y. Lee, D. Raparia, L. Wielopolski, BNL, Upton, New York, USA","Proposal for the Use of the AGS Linac for Proton Therapy (Oral Poster)",576 578,
tu-91,"D. Rusthoi, B. Blind, R.W. Garnett, D. Hanna, A.J. Jason, R.H. Kraus, F. Neri, LANL, Los Alamos, New Mexico, USA","Nonlinear Beam Expander for ESNIT",579 581,
tu-92,"K. Sasa, T. Hattori, T. Ito, Y. Oguri, M. Okada, M. Okamura, Tokyo Institute of Technology, Tokyo, Japan","Design of a Transport System after the TIT-RFQ for Beam-Plasma Interaction Experiments",582 584,
tu-93,"S. Sawamura, T. Fujiwara, M. Katagiri, M. Kitaichi, Hokkaido University, Sapporo, Japan; O. Narita, I. Nojiri, PNC, Ibaraki, Japan","Monte Carlo Calculations of Dose Equivalents for High Energy Electrons Using the MIRD-5 Human Phantom",585 587,
tu-95,"R. Suzuki, M. Chiwaki, T. Mikado, T. Ohdaira, H. Ohgaki, T. Yamazaki, Electrotechnical Laboratory, Tsukuba, Ibaraki, Japan","Generation and Control of an Intense Slow Positron Beam (Oral Poster)",588 590,
tu-96,"E. Tanabe, J. Ford, Varian Associates, Inc., Palo Alto, California, USA","Advances in Medical Electron Accelerator Technology (Oral Poster)",591 593,
tu-98,"C.F. Chan, J.W. Staples, LBL, Berkeley, California, USA","A Compact Double Einzel Lens LEBT with Steering for H+ Beams",594 596,
tu-99,"S. Yu, N. Goffeney, E. Henestroza, H. Li, C. Peters, L. Reginato, A.M. Sessler, D. Vanecek, LBL, Berkeley, California, USA; F. Deadrick, T. Houck, G. Westenskow, LLNL, Livermore, California, USA","Relativistic-Klystron Two-Beam-Accelerator as a Power Source for a 1 TeV Next Linear Collider - A Systems Study",597 599,
tu1-01,"M. Mizumoto, JAERI/Tokai, Ibaraki-ken, Japan","Accelerators for Nuclear Waste Transmutation",317 321,
tu1-02,"H. Klein, IAP, Frankfurt-am-Main, Germany","Spallation Neutron Sources",322 327,
Tu1-03,"R.A. Hardekopf, LANL, Los Alamos, New Mexico, USA","Review of the APDF and Other Low-beta;, High-Duty-Factor Linacs",328 332,
tu1-04,"R.L. Gluckstern, University of Maryland, College Park, Maryland, USA","Survey of Halo Formation Studies in High Intensity Proton Linacs",333 337,
tu2-01,"J.H. Billen, F.L. Krawczyk, R.L. Wood, L.M. Young, LANL, Los Alamos, New Mexico, USA","A New RF Structure for Intermediate-Velocity Particles",341 345,
tu2-02,"J.M. D'Auria, TRIUMF, Vancouver, Canada","Radioactive Beam Facilities: A World View",346 350,
tu2-03,"R.O. Bangerter, A. Faltens, LBL, Berkeley, California, USA","Induction Linacs for Heavy Ion Fusion",351 354,
we1-01,"S. Takeda, KEK, Ibaraki, Japan","Survey of Linear Collider Test Facilities",611 615,
we1-02,"G. Guignard, CERN, Geneva, Switzerland","Beam Emittance Preservation in Linear Colliders",616 620,
we1-03,"T. Higo, KEK, Ibaraki, Japan","Linear Collider Structures",621 625,
we1-04,"L. Hendrickson, S. Allison, T. Gromme, P. Grossberg, T. Himel, K. Krauter, R. MacKenzie, M. Ross, R. Sass, H. Shoaee, SLAC, Stanford, California, USA","Tutorial on Beam-Based Feedback Systems for Linacs",626 630,
we2-01,"T. Shintake, KEK, Ibaraki, Japan","High-Precision Spot Size Monitors for e+e- Linear Colliders",633 637,
we2-02,"K. Takata, KEK, Ibaraki, Japan","Developments of High Power RF Components",638 642,
we2-03,"L.N. Arapov, V. Chashurin, N.G. Khavin, V.F. Kluev, G.S. Krynov, G.I. Kuznetsov, A.N. Lukin, O.V. Pirogov, S.L. Samoilov, V.D. Shemelin, V.V. Shirokov, Yu.D. Valyaev, G.I. Yasnov, BINP, Novosibirsk, Russia; P.V. Avrakhov, V.E. Balakin, S.Yu. Kazakov, A.V. Larionov, N.A. Solyak, V.E. Teryaev, V.F. Vogel, BINP, Protvino, Moscow Region, Russia","High Power Sources for VLEPP",643 646,
