fra1co03,"A. D'Audney, S. Biedron, S.V. Milton [CSU, Fort Collins, Colorado, USA] ","An Ultra-High Resolution Pulsed-Wire Magnet Measurement System",1268 1270,
mopob52,"B.T. Freemire [IIT, Chicago, Illinois, USA] M. Backfish, D.L. Bowring, A. Moretti, D.W. Peterson, A.V. Tollestrup, K. Yonehara [Fermilab, Batavia, Illinois, USA] R.P. Johnson [Muons, Inc, Illinois, USA] A.V. Kochemirovskiy [University of Chicago, Chicago, Illinois, USA] Y. Torun [Illinois Institute of Technology, Chicago, Illlinois, USA] ","Dielectric Loaded High Pressure Gas Filled RF Cavities for Use in Muon Cooling Channels",177 180,
mopob53,"M. Siddiqi, R.A. Kishek [UMD, College Park, Maryland, USA] ","Simulation of Ping-Pong Multipactor with Continuous Electron Seeding",181 183,
mopob54,"P.M. McIntyre, J. Breitschopf, T. Elliott, R. Garrison, J. Gerity, J.N. Kellams, A. Sattarov [Texas Aamp;M University, College Station, USA] D. Chavez [DCI-UG, León, Mexico] ","Superferric Arc Dipoles for the Ion Ring and Booster of JLEIC",184 187,
mopob55,"Y. Yamazaki, N.K. Bultman, E.E. Burkhardt, F. Feyzi, K. Holland, A. Hussain, M. Ikegami, F. Marti, S.J. Miller, T. Russo, J. Wei, Q. Zhao [FRIB, East Lansing, USA] W.J. Yang, Q.G. Yao [IMP/CAS, Lanzhou, People's Republic of China] ","Room Temperature Magnets in FRIB Driver Linac",188 190,
mopob56,"T. Sipahi, S. Biedron, S.V. Milton [CSU, Fort Collins, Colorado, USA] ","Frequency Domain Simulations of Rf Cavity Structures and Coupler Designs for Co-Linear X-Band Energy Booster (CXEB) with ACE3P",191 194,
mopob57,"T. Sipahi, S. Biedron, S.V. Milton [CSU, Fort Collins, Colorado, USA] ","Wakefield Excitation in Power Extraction Cavity of Co-Linear X-Band Energy Booster in Time Domain With ACE3P",195 197,
mopob58,"S.A. Kahn, A. Dudas, R.P. Johnson, M.L. Neubauer [Muons, Inc, Illinois, USA] H. Wang [JLab, Newport News, Virginia, USA] ","Eddy Current Calculations for a 1.495 GHz Injection-Locked Magnetron",198 200,
mopob59,"J.A. Crittenden, D.C. Burke, Y.L.P. Fuentes, C.E. Mayes, K.W. Smolenski [Cornell University (CLASSE), Cornell Laboratory for Accelerator-Based Sciences and Education, Ithaca, New York, USA] ","Magnet Design for the Splitter/Combiner Regions of CBETA, the Cornell-Brookhaven Energy-Recovery-Linac Test Accelerator",201 203,
mopob60,"F. Furuta, N. Banerjee, J. Dobbins, R.G. Eichhorn, M. Ge, D. Gonnella, G.H. Hoffstaetter, M. Liepe, T.I. O'Connell, P. Quigley, D.M. Sabol, J. Sears, E.N. Smith, V. Veshcherevich [Cornell University (CLASSE), Cornell Laboratory for Accelerator-Based Sciences and Education, Ithaca, New York, USA] ","Performance of the Cornell Main Linac Prototype Cryomodule for the CBETA Project",204 207,
mopob61,"F. Furuta, M. Ge, T. Gruber, J.J. Kaufman, M. Liepe, J. Sears [Cornell University (CLASSE), Cornell Laboratory for Accelerator-Based Sciences and Education, Ithaca, New York, USA] V. Chouhan, Y.I. Ida, K.N. Nii, T.Y. Yamaguchi [MGH, Hyogo-ken, Japan] H. Hayano, S. Kato, T. Saeki [KEK, Ibaraki, Japan] ","Updates of Vertical Electropolishing Studies at Cornell with KEK and Marui Galvanizing Co. Ltd .",208 210,
mopob62,"M. Ge, F. Furuta, T. Gruber, S.W. Hartman, C. Henderson, M. Liepe, S. Lok, T.I. O'Connell, P.J. Pamel, J. Sears, V. Veshcherevich [Cornell University (CLASSE), Cornell Laboratory for Accelerator-Based Sciences and Education, Ithaca, New York, USA] J. Joo, J.-W. Kim, W.K. Kim, J. Lee, I. Shin [IBS, Daejeon, Republic of Korea] ","SRF Half Wave Resonator Activities at Cornell for the RAON Project",211 214,
mopob63,"D.L. Hall, M. Ge, J.J. Kaufman, M. Liepe, R.D. Porter [Cornell University (CLASSE), Cornell Laboratory for Accelerator-Based Sciences and Education, Ithaca, New York, USA] ","Impact of Cooldown Procedure and Ambient Magnetic Field on the Quality Factor of State-of-the-Art Nb3Sn Single-Cell ILC Cavities",215 217,
mopob65,"J.T. Maniscalco, M. Ge, D. Gonnella, M. Liepe [Cornell University (CLASSE), Cornell Laboratory for Accelerator-Based Sciences and Education, Ithaca, New York, USA] ","Investigation of the Origin of the Anti-Q-Slope",218 220,
mopob68,"J. Musson, K. Macha, H.L. Phillips [JLab, Newport News, Virginia, USA] W. Cao, H. Elsayed-Ali [ODU, Norfolk, Virginia, USA] ","A New Method for Grain Texture Manipulation in Post-Deposition Niobium Films",221 224,
mopob69,"H. Wang [JLab, Newport News, Virginia, USA] ","Wire Stretching Technique for Measuring RF Crabbing/Deflecting Cavity Electrical Center and a Demonstration Experiment on Its Accuracy",225 228,
mopob71,"S.W. Lee, M.S. Champion, Y.W. Kang [ORNL, Oak Ridge, Tennessee, USA] ","Consideration on Determination of Coupling Factors of Waveguide Iris Couplers",229 231,
mopob72,"A.V. Smirnov, S. Boucher [RadiaBeam Systems, Santa Monica, California, USA] R.B. Agustsson, D.I. Gavryushkin, J.J. Hartzell, K.J. Hoyt, A.Y. Murokh, T.J. Villabona [RadiaBeam, Santa Monica, California, USA] G.R. Branner, K.S. Yuk [UC Davis, Davis, USA] V. Khodos [Sierra Nevada Corporation, Irvine, USA] ","Update on CW 8 kW 1.5 GHz Klystron Replacement",232 234,
