FRXBCH01,"K.J. Peach, CCLRC/RAL/ASTeC, Chilton, Didcot, Oxon","Novel Ideas and Ramp;D for High Intensity Neutrino Beams",
THPKF075,"J.N. Corlett, W.A. Barletta, S. De Santis, L.R. Doolittle, W. Fawley, P.A. Heimann, S.R. Leone, D. Li, S.M. Lidia, G. Penn, A. Ratti, M. Reinsch, R.W. Schoenlein, J.W. Staples, G.D. Stover, S.P. Virostek, W. Wan, R. Wells, R.B. Wilcox, A. Wolski, J.S. Wurtele, A. Zholents, LBNL, Berkeley, California","LUX - A Recirculating Linac-based Facility for Ultrafast X-ray Science",
THPKF076,"D. Robin, B. J. Bailey, K.M. Baptiste, W. Barry, E. Byrne, LBNL, Berkeley, California; R.J. Donahue, LBNL/ALS, Berkeley, California; J.-Y. Jung, S. Kwiatkowski, R.S. Mueller, H. Nishimura, S. Prestemon, S.L. Rossi, F. Sannibale, D. Schlueter, D. Shuman, C. Steier, G.D. Stover, T. Warwick, LBNL, Berkeley, California","Plan to Upgrade the Advanced Light Source to Top-off Injection Operation",
THPKF077,"R.B. Wilcox, L.R. Doolittle, J.W. Staples, LBNL, Berkeley, California","A Fiber Optic Synchronization System for LUX",
THPKF078,"A. Zholents, J.M. Byrd, Z. Hao, M.C. Martin, D. Robin, F. Sannibale, R.W. Schoenlein, M. Venturini, M.S. Zolotorev, LBNL, Berkeley, California","Coherent Infrared Radiation from the ALS Generated via Femtosecond Laser Modulation of the Electron Beam",
THPKF082,"R.O. Hettel, R. Akre, S. Allison, P. Bellomo, R.M. Boyce, L. Cadapan, R. Cassel, B. Choi, W.J. Corbett, D. Dell'Orco, T. Elioff, I. Evans, R. Fuller, S. Hill, D. Keeley, N. Kurita, J. Langton, G. Leyh, C. Limborg-Deprey, D. Macnair, D.J. Martin, P.A. McIntosh, E. Medvedko, C.-K. Ng, I. Nzeadibe, J. Olsen, M. Ortega, G.C. Pappas, S. Park, T. Rabedeau, H. Rarback, A. Ringwall, P. Rodriguez, J.A. Safranek, H.D. Schwarz, B. Scott, J.J. Sebek, S. Smith, T. Straumann, J. Tanabe, A. Terebilo, T.A. Trautwein, C. Wermelskirchen, M. Widmeyer, R. Yotam, K. Zuo, SLAC/SSRL, Menlo Park, California","The Completion of SPEAR 3",
THPKF084,"S. Chattopadhyay, S.T. Corneliussen, G.P. Williams, Jefferson Lab, Newport News, Virginia","Emerging Concepts, Technologies and Opportunities for Mezzo-scale Terahertz and Infrared Facilities",
THPKF088,"J.B. Murphy, J. Bengtsson, L. Berman, R. Biscardi, A. Blednykh, G.L. Carr, W.R. Casey, S.B. Dierker, E. Haas, R. Heese, S. Hulbert, E. Johnson, C.C. Kao, S.L. Kramer, S. Krinsky, I.P. Pinayev, R. Pindak, S. Pjerov, B. Podobedov, G. Rakowsky, J. Rose, T.V. Shaftan, B. Sheehy, D.P. Siddons, J. Skaritka, N. Towne, J.-M. Wang, X.J. Wang, L.-H. Yu, BNL/NSLS, Upton, Long Island, New York","NSLS II: A Future Source for the NSLS",
THPLT003,"S.G. Arutunian, K.G. Bakshetyan, N.M. Dobrovolski, M.R. Mailian, V.A. Oganessian, H.E. Soghoyan, I.E. Vasiniuk, YerPhI, Yerevan; K. Wittenburg, DESY, Hamburg","Vibrating Wire Scanner Parameters Optimization",
THPLT004,"E.D. Gazazyan, T. Harutyunyan, D.K. Kalantaryan, YSU, Yerevan; V. Kocharyan, DESY, Hamburg","Toroidal Cavity Loaded with an Electron Beam",
THPLT005,"G.G. Oksuzyan, E.D. Gazazyan, YerPhI, Yerevan; M. Ivanyan, CANDLE, Yerevan; A.T. Margaryan, A.D. Ter-Poghosyan, YerPhI, Yerevan","Ultra-high Frequency Scanning Cavities for Non-relativistic Electron Beam",
THPLT006,"S.R. Koscielniak, TRIUMF, Vancouver","A Comparison of COSY DA Maps with Analytic Formulae for Orbit Functions of a Non-scaling FFAG Accelerator",
THPLT007,"J. Bosser, K. Gnanvo, J. Spanggaard, G. Tranquille, CERN, Geneva","New Beam Profile Monitor Based on GEM Detector for the AD Transfer and Experimental Lines",
THPLT008,"L. Fernandez-Hernando, L. Fernandez-Hernando, C. Ilgner, CERN, Geneva; A. Macpherson, PSI, Villigen; A. Oh, H. Pernegger, CERN, Geneva; T. Pritchard, CCLRC/RAL/ASTeC, Chilton, Didcot, Oxon; R. Stone, Rutgers University, The State University of New Jersey, Piscataway, New Jersey","A Beam Condition Monitor for the Experimental Areas of the LHC",
THPLT009,"C. Fischer, B. Dehning, J. Koopman, D. Kramer, F. Roncarolo, CERN, Geneva","Comparative Transverse Distribution Measurements between the New SPS Rest Gas Ionisation Monitor and the Wire Scanner Monitors.",
THPLT010,"M. Gasior, CERN, Geneva","Limiting High Frequency Longitudinal Impedance of an Inductive Pick-up by a Thin Metallic Layer",
THPLT011,"E.B. Holzer, B. Dehning, CERN, Geneva","Longitudinal Loss Distribution along the LHC",
THPLT012,"E.B. Holzer, B. Dehning, E. Effinger, G. Ferioli, J.L. Gonzalez, E. Gschwendtner, G. Guaglio, M. Hodgson, V. Prieto, C. Zamantzas, CERN, Geneva","Design of the Beam Loss Monitoring System for the LHC Ring",
THPLT013,"A. Koschik, CERN, Geneva","Simulation of Multi-bunch Multi-turn Instabilities in High Energy Proton Rings: Algorithms and Results",
THPLT014,"T. Kroyer, TU Vienna, Vienna; F. Caspers, CERN, Geneva","Coupler Structures for the LHC Beam-pipe Waveguide Mode Reflectometer",
THPLT015,"F. Roncarolo, G. Arduini, B. Dehning, G. Ferioli, J. Koopman, D. Kramer, CERN, Geneva","Accuracy of Profile Monitors and LHC Emittance Measurements",
THPLT016,"J. Wenninger, J. Andersson, L.K. Jensen, R.O. Jones, M. Lamont, R. Steinhagen, CERN, Geneva","LHC Orbit Feedback Tests at the SPS",
THPLT017,"F. Zimmermann, CERN, Geneva; G. Bellodi, CCLRC/RAL/ASTeC, Chilton, Didcot, Oxon; E. Benedetto, CERN, Geneva; M. Blaskiewicz, BNL, Upton, Long Island, New York; Y. Cai, SLAC, Menlo Park, California; V.K. Decyk, UCLA, Los Angeles, California; M.A. Furman, LBNL/AFR, Berkeley, California; A.F. Ghalam, T. Katsouleas, USC, Los Angeles, California; W. Mori, UCLA, Los Angeles, California; K. Ohmi, KEK, Ibaraki; M.T.F. Pivi, SLAC, Menlo Park, California; F. Ruggiero, CERN, Geneva; G. Rumolo, GSI, Darmstadt; D. Schulte, CERN, Geneva; L. Wang, BNL, Upton, Long Island, New York; S.S. Win, KEK, Ibaraki","Review and Comparison of Simulation Codes Modeling Electron-Cloud Build Up and Instabilities",
THPLT018,"M. Dehler, PSI, Villigen; A.E. Candel, ETH, Zürich; S.C. Leemann, PSI, Villigen","Electron Beam Dynamics Simulations for the Low Emittance Gun",
THPLT019,"M. Dehler, PSI, Villigen; D. Bulfone, ELETTRA, Basovizza, Trieste; R. Kramert, PSI, Villigen; M. Lonza, ELETTRA, Basovizza, Trieste; P. Pollet, T. Schilcher, PSI, Villigen","Commissioning Results of the Multi Bunch Feedback System at SLS",
THPLT020,"B. Keil, PSI, Villigen; K. Wille, DELTA, Dortmund","The DSP-based Betatron Tune Feedback of the Ramped 1.5 GeV Electron Storage Ring BoDo",
THPLT021,"B. Keil, PSI, Villigen; K. Wille, DELTA, Dortmund","A DSP-Based Fast Orbit Feedback System for the Synchrotron Light Source DELTA",
THPLT022,"B. Keil, C. Buehler, P.-A. Duperrex, U. Greuter, R. Kramert, P. Pollet, V. Schlott, N. Schlumpf, P. Spuhler, PSI, Villigen","The Generic VME PMC Carrier Board: A Common Digital Hardware Platform for Beam Diagnostics and Feedbacks at PSI",
THPLT023,"J. Krempasky, M. Böge, T. Schilcher, V. Schlott, T. Schmidt, PSI, Villigen","The Use of Photon Monitors at the Swiss Light Source",
THPLT024,"T. Schilcher, M. Böge, B. Keil, P. Pollet, V. Schlott, PSI, Villigen","Commissioning and Operation of the SLS Fast Orbit Feedback",
THPLT025,"V. Schlott, M. Dach, Ch. David, B. Kalantari, M. Pedrozzi, A. Streun, PSI, Villigen","Using Visible Synchrotron Radiation at the SLS Diagnostics Beamline",
THPLT026,"T. Kamps, BESSY GmbH, Berlin; K. Balewski, DESY, Hamburg; G.A. Blair, Royal Holloway, University of London, Surrey; S.T. Boogert, UCL, London; G. Boorman, J. Carter, Royal Holloway, University of London, Surrey; T. Lefevre, CERN, Geneva; H.-C. Lewin, DESY, Hamburg; F. Poirier, Royal Holloway, University of London, Surrey; S. Schreiber, K. Wittenburg, DESY, Hamburg","Beam Profile Measurements at PETRA with the Laserwire Compton Scattering Monitor",
THPLT027,"T. Kamps, K. Holldack, P. Kuske, BESSY GmbH, Berlin","Optical Transition Radiation Based Beam Diagnostics at the BESSY Synchrotron Radiation Source and FEL Accelerators",
THPLT028,"A. Liapine, H. Henke, TET, Berlin","High Precision Cavity Beam Position Monitor",
THPLT029,"W. Bruns, WBFB, Berlin","Parallel Particle in Cell Computations with GdfidL",
THPLT030,"P. Forck, C. Dorn, M.H. Herty, GSI, Darmstadt; V. Peplov, RAS/INR, Moscow; S. Sharamentov, ANL, Argonne, Illinois; P. Strehl, GSI, Darmstadt","A Novel Device for Non-intersecting Bunch Shape Measurement at the High Current GSI-Linac",
THPLT031,"R.W. Hasse, O. Boine-Frankenheim, GSI, Darmstadt","Comparison of Rate Equation Models for Equilibrium Beam Parameters",
THPLT032,"M. Schwickert, A. Peters, GSI, Darmstadt","Computer Controlled Beam Diagnostics for the HICAT Facility",
THPLT033,"U. Weinrich, GSI, Darmstadt; P. Emde, MAN Technologie AG, Mainz; R. Fuchs, GSI, Darmstadt","The Heavy Ion Gantry of the HICAT-facility",
THPLT034,"W. Ackermann, T. Weiland, TEMF, Darmstadt","Implementation of Higher Order Moments for Beam Dynamics Simulation with the V-Code",
THPLT035,"E. Gjonaj, J. Mudiganti, T. Weiland, TEMF, Darmstadt","Development of a 3D-Gun-Code based on a Charge Conserving Algorithm",
THPLT036,"R. Hampel, T. Weiland, I. Zagorodnov, TEMF, Darmstadt","New Discretization Scheme for Wake Field Computation in Cylindrically Symmetric Structures",
THPLT037,"S. Schnepp, S. Setzer, T. Weiland, TEMF, Darmstadt","Investigation of Numerical Noise in PIC-Codes",
THPLT038,"U. Berges, K. Wille, DELTA, Dortmund","The Synchrotron Radiation Interferometer using Visble Light at DELTA",
THPLT039,"M. Grewe, P. Hartmann, G. Schmidt, K. Wille, DELTA, Dortmund","SVD Based Orbit Correction Incorporating Corrector Limitations at DELTA",
THPLT041,"A. Bechtold, M. Otto, U. Ratzinger, A. Schempp, IAP, Frankfurt-am-Main; B. Schlitt, GSI, Darmstadt; E. Vassilakis, IAP, Frankfurt-am-Main","Beam Test Stand of the RFQ-drifttube-combination for the Therapy Center in Heidelberg",
THPLT042,"S.W. Herb, P.K. Bartkiewicz, F. Brinker, J.M. Maass, DESY, Hamburg","Automated Orbit Control for the HERA ep Collider",
THPLT043,"O. Kaul, F. Brinker, R. Neumann, R. Stadtmüller, DESY, Hamburg","Development of a New Orbit Measurement System",
THPLT044,"R. Ischebeck, RWTH, Aachen; J. Feldhaus, DESY, Hamburg; C. Gerth, CCLRC/DL/ASTeC, Daresbury, Warrington, Cheshire; E. Saldin, DESY, Hamburg; P. Schmüser, Uni HH, Hamburg; E. Schneidmiller, K. Tiedtke, DESY, Hamburg; M. Tonutti, RWTH, Aachen; R. Treusch, DESY, Hamburg; M.V. Yurkov, JINR, Dubna, Moscow Region","Measurement of the Transverse Coherence of the TTF Free Electron Laser",
THPLT045,"I.V. Agapov, F.J. Willeke, DESY, Hamburg","A more Accurate Approach to Calculating Proton Bunch Evolution under Influence of Intra-beam Scattering in a Storage Ring.",
THPLT046,"O. Grimm, S. Casalbuoni, L. Fröhlich, O. Peters, J. Rossbach, DESY, Hamburg","The Synchrotron Radiation Beamline at TTF2",
THPLT047,"J. Dietrich, FZJ/IKP, Jülich; A.H. Botha, J.L. Conradie, J.L.G. Delsink, IThemba Labs, Somerset West; I. Mohos, FZJ/IKP, Jülich; P.F. Rohwer, IThemba Labs, Somerset West","Beam Position Monitor Development for the IThemba LABS Cyclotron Beamlines",
THPLT048,"G. Pöplau, U. Van Rienen, Rostock University, Faculty of Engineering, Rostock; M.J. de Loos, PP, Soest; S.B. van der Geer, TUE, Eindhoven","Progress in 3D Space-charge Calculations in the GPT Code",
THPLT050,"N. Pichoff, J.-M. Lagniel, CEA/DAM, Bruyères-le-Châtel","End to End Simulations of the RX2 Beam Transport",
THPLT051,"N. Pichoff, A. Compant La Fontaine, CEA/DAM, Bruyères-le-Châtel","End to End Multiparticle Simulations of the AIRIX Linac",
THPLT052,"G.A. Naylor, B. Joly, D. Robinson, ESRF, Grenoble","Measurement of Relative Gas Chamber Pressure in Narrow Straight Section Vacuum Vessels by Observing Gas Bremstrahlung",
THPLT053,"D. Bulfone, R. De Monte, M. Ferianis, V. Forchi', M. Lonza, ELETTRA, Basovizza, Trieste","Fast Orbit Feedback Developments at ELETTRA",
THPLT054,"M. Quattromini, L. Giannessi, C. Ronsivalle, ENEA C.R. Frascati, Frascati (Roma)","Emittance Diluition due to 3D Perturbations in RF Photoinjectors.",
THPLT055,"D. Alesini, C. Biscari, INFN/LNF, Frascati (Roma); R. Corsini, CERN, Geneva; A. Ghigo, F. Marcellini, INFN/LNF, Frascati (Roma)","Longitudinal Phase Space Characterization of the CTF3 Beam with the RF Deflector",
THPLT056,"A. Drago, INFN/LNF, Frascati (Roma)","Horizontal Instability and Feedback Performance in DAFNE e+ Ring",
THPLT057,"C. Vaccarezza, D. Alesini, INFN/LNF, Frascati (Roma); M. Amadei, P. Cascavola, A. Mostacci, L. Palumbo, Rome University La Sapienza, Roma; J. Rosenzweig, UCLA, Los Angeles, California","An RF Deflector Design for 6d Phase Space Characterization of the Sparc Beam",
THPLT058,"A. Cianchi, INFN-Roma II, Roma; M. Castellano, INFN/LNF, Frascati (Roma); L. Catani, E.C. Chiadroni, INFN-Roma II, Roma; G. Di Pirro, INFN/LNF, Frascati (Roma); K. Honkavaara, DESY, Hamburg; M. Raparelli, Università di Roma II Tor Vergata, Roma","Commissioning of the OTR Beam Profile Monitor System at TTF/VUV-FEL Injector",
THPLT059,"A. Cianchi, INFN-Roma II, Roma; M. Boscolo, M. Castellano, INFN/LNF, Frascati (Roma); L. Catani, INFN-Roma II, Roma; A. Clozza, G. Di Pirro, M. Ferrario, D. Filippetto, V. Fusco, INFN/LNF, Frascati (Roma); L. Giannessi, L. Picardi, M. Quattromini, C. Ronsivalle, ENEA C.R. Frascati, Frascati (Roma)","Design Study of a Movable Emittance Meter Device for the SPARC Photoinjector",
THPLT060,"D. Giove, INFN/LASA, Segrate (MI); C. Cirrone, G. Cuttone, INFN/LNS, Catania; C. De Martinis, M. Mauri, INFN/LASA, Segrate (MI)","An Automatic Beam Characterization Instrument for Proton Therapy Applications",
THPLT061,"J. Urakawa, M. Akemoto, S. Araki, KEK, Ibaraki; M.K. Fukuda, NIRS, Chiba-shi; H. Hayano, KEK, Ibaraki; K. Hirano, NIRS, Chiba-shi; M. Kuriki, T. Muto, KEK, Ibaraki; M. Nomura, M. Takano, NIRS, Chiba-shi; N. Terunuma, Y. Yamazaki, KEK, Ibaraki","Development of a Multibunch Photo-cathode RF Gun System",
THPLT062,"Y. Iwata, NIRS, Chiba-shi; Y.F. Fujii, SHI, Tokyo; T. Fujimoto, AEC, Chiba; T. Fujisawa, T. Furukawa, T. Kanai, M. Kanazawa, N. Kanematsu, NIRS, Chiba-shi; V. Kapin, MEPhI, Moscow; M. Komori, S. Minohara, NIRS, Chiba-shi; T. Mitsumoto, SHI, Tokyo; T. Murakami, M. Muramatsu, K. Noda, NIRS, Chiba-shi; H.O. Ogawa, S. Shibuya, AEC, Chiba; M. Torikoshi, NIRS, Chiba-shi; H. Tsutsui, SHI, Tokyo; S. Yamada, NIRS, Chiba-shi","Alternating-phase-focused Linac for an Injector of Medical Synchrotrons",
THPLT063,"K. Noda, T. Fujisawa, T. Furukawa, Y. Iwata, T. Kanai, M. Kanazawa, N. Kanematsu, A. Kitagawa, Y. Kobayashi, M. Komori, S. Minohara, T. Murakami, M. Muramatsu, S. Sato, Y. Sato, S. Shibuya, E. Takada, O. Takahashi, M. Torikoshi, E. Urakabe, S. Yamada, K. Yoshida, NIRS, Chiba-shi","Proposal of Carbon-beam Facility for Cancer Therapy in Japan",
THPLT064,"M. Nomura, NIRS, Chiba-shi; S. Araki, Y. Higashi, KEK, Ibaraki; K. Hirano, NIRS, Chiba-shi; Y. Honda, Kyoto University, Kyoto; H. Sakai, ISSP/SRL, Chiba; N. Sasao, Kyoto University, Kyoto; M. Takano, NIRS, Chiba-shi; K. Takezawa, Kyoto University, Kyoto; T. Taniguchi, J. Urakawa, Y. Yamazaki, KEK, Ibaraki","Enhancement of Laser Power from a Mode Lock Laser with an Optical Cavity",
THPLT065,"T.H. Uesugi, NIRS, Chiba-shi; T. Fujimoto, AEC, Chiba; T. Furukawa, T. Naruse, K. Noda, NIRS, Chiba-shi; S. Shibuya, AEC, Chiba","Study of Multiturn Injection at HIMAC Synchrotron",
THPLT066,"Y. Yonemura, Kyushu University, Fukuoka; M. Aiba, University of Tokyo, Tokyo; S. Machida, KEK, Ibaraki; M. Matoba, Kyushu University, Fukuoka; Y. Mori, A. Muto, J. Nakano, C. Ohmori, I. Sakai, Y. Sato, KEK, Ibaraki; M. Sugaya, University of Tokyo, Tokyo; A. Takagi, KEK, Ibaraki; T. Uesugi, NIRS, Chiba-shi; A. Yamazaki, LNS, Sendai; T. Yokoi, M. Yoshii, M. Yoshimoto, Y. Yuasa, KEK, Ibaraki","Commissioning of 150MeV FFAG Synchronisation",
THPLT067,"V. Karataev, KEK, Ibaraki; R. Hamatsu, TMU, Hatioji-shi,Tokyo; H. Hayano, T. Muto, KEK, Ibaraki; A. Naumenko, A.P. Potylitsyn, Tomsk Polytechnic University, Physical-Technical Department, Tomsk; N. Terunuma, J. Urakawa, KEK, Ibaraki","Development of Optical Diffraction Radiation Beam Size Diagnostics at KEK Accelerator Test Facility",
THPLT068,"T. Nakamura, S. Daté, JASRI/SPring-8, Hyogo; K. Kobayashi, SES, Hyogo-pref.; T. Ohshima, JASRI/SPring-8, Hyogo","Transverse Bunch-by-bunch Feedback System for the SPring-8 Storage Ring",
THPLT069,"T. Kawakubo, T. Ishida, T. Sanami, KEK, Ibaraki","High Speed Beam Loss Monitor and its Deterioration by Radiation",
THPLT070,"T. Mitsuhashi, KEK, Ibaraki","Design and Constriction of Coronagraph for Observation of Beam Halo",
THPLT071,"M.J. Shirakata, H. Fujimori, Y. Irie, KEK, Ibaraki","Upgraded Symplectic 3D Beam Tracking of the J-PARC 3 GeV RCS",
THPLT072,"K. Endo, K. Egawa, Z. Fang, S. Yamanaka, KEK, Ibaraki","Magnet and RF Systems of Small Pulse Synchrotron for Radiotherapy",
THPLT073,"Y. Hitaka, KEK, Ibaraki; M.K. Kono, Miyazaki University, Miyazaki; H. Sato, M.J. Shirakata, KEK, Ibaraki; Y.M. Yokomichi, Miyazaki University, Miyazaki","Numerical Methods for the Orbit Control at the KEK 12 GeV PS",
THPLT074,"S. Lee, KEK, Ibaraki; J. Kishiro, JAERI/LINAC, Ibaraki-ken; M. Tanaka, JAERI, Ibaraki-ken; T. Toyama, KEK, Ibaraki","The Beam Loss Monitor System of the J-parc LINAC, 3 GEV RCS and 50 GEV MR",
THPLT076,"N.H. Quyet, K. Dobashi, F. Ebina, M. El-Ashmawy, A. Fukasawa, H. Iijima, H. Ogino, M. Uesaka, UTNL, Ibaraki","Compact X-band (11.424 Ghz) Linac for Cancer Therapy",
THPLT077,"K. Fujita, H. Kawaguchi, Muroran Institute of Technology, Department of Electrical and Electronic Engineering, Muroran; T. Weiland, I. Zagorodnov, TEMF, Darmstadt","MPI Parallel Computation of Wake Fields by Using Time Domain Boundary Element Method",
THPLT078,"M. Tanigaki, KURRI, Osaka; S. Fukumoto, Mitsubishi Electric Corp, Energy amp; Public Infrastructure Systems Center, Kobe; M. Inoue, SLLS, Shiga; Y. Ishi, Mitsubishi Electric Corp, Energy amp; Public Infrastructure Systems Center, Kobe; S. Machida, KEK, Ibaraki; K. Mishima, KURRI, Osaka; Y. Mori, KEK, Ibaraki; S. Shiroya, KURRI, Osaka","Construction of FFAG Accelerators in KURRI for ADS Study",
THPLT079,"K. Yamamoto, T. Hattori, RLNR, Tokyo; M. Okamura, RIKEN, Saitama; S. Yamada, NIRS, Chiba-shi; K. Yamamoto, RLNR, Tokyo","The Study of APF-IH Linac",
THPLT080,"K. Shinto, H. Hama, F. Hinode, A. Miyamoto, T. Tanaka, LNS, Sendai","Simulation Study of the Beam Loading Effect in an RF Gun",
THPLT081,"R. Kuroda, Y. Hama, RISE, Tokyo; H. Hayano, KEK, Ibaraki; K. Hidume, H. Hirama, RISE, Tokyo; S. Kashiwagi, ISIR, Osaka; M. Kawaguchi, N. Kudo, T. Kuribayasi, S. Minamiguchi, R. Moriyama, T. Saito, K. Sakaue, D. Ueyama, RISE, Tokyo; J. Urakawa, KEK, Ibaraki; X.J. Wang, BNL/NSLS, Upton, Long Island, New York; M. Washio, RISE, Tokyo","Present Status of Photo-cathode RF Gun System and its Applications at Waseda University",
THPLT082,"K. Sakaue, RISE, Tokyo; H. Hayano, KEK, Ibaraki; S. Kashiwagi, ISIR, Osaka; N. Kudo, R. Kuroda, RISE, Tokyo; J. Urakawa, KEK, Ibaraki; M. Washio, RISE, Tokyo","Beam Diagnostics for a Photocathode Rf-gun System",
THPLT083,"S. Kashiwagi, ISIR, Osaka; H. Hayano, KEK, Ibaraki; G. Isoyama, R. Kato, K.K. Kobayashi, ISIR, Osaka; M. Kudo, RISE, Tokyo; M. Kuriki, KEK, Ibaraki; Y. Matsui, A. Saeki, ISIR, Osaka; M. Washio, RISE, Tokyo; J. Yang, ISIR, Osaka","Femto-second Bunch Length Measurement using the RF Deflector",
THPLT084,"H.-S. Kang, J. Choi, K.M. Ha, E.-H. Lee, T.-Y. Lee, W.W. Lee, PAL, Pohang","Test Result of Slow Global Orbit Feedback using MATLAB at PLS",
THPLT085,"J.B. Kim, I.S. Ko, POSTECH, Pohang, Kyungbuk; H. Suk, KERI, Changwon","Reengineering and Refactoring Large-scale Scientific Programs with the Unified Process: A Case Study with OSIRIS PIC Program",
THPLT086,"G. Berden, FOM Rijnhuizen, Nieuwegein; W.A. Gillespie, UAD, Dundee; S.P. Jamison, Strathclyde University, Glasgow; A. MacLeod, UAD, Dundee; B. Redlich, A.F.G. Van der Meer, FOM Rijnhuizen, Nieuwegein","High Temporal Resolution, Single-shot Electron Bunch-length Measurements",
THPLT089,"H.-P. Chang, H.-J. Tsai, NSRRC, Hsinchu","MATLAB Based TPSA Toolbox for the Particle Mapping Through Three-dimensional Magnetic Fields",
THPLT090,"C.H. Kuo, J. Chen, K.-T. Hsu, K.H. Hu, D. Lee, NSRRC, Hsinchu","The Operating of Digital Beam Position Monitor in NSRRC",
THPLT091,"C.H. Kuo, J. Chen, K.-T. Hsu, S.Y. Hsu, Y.-T. Yang, NSRRC, Hsinchu","The Synchrotron Radiation Monitor Upgradation in NSRRC",
THPLT093,"G. Shirkov, V. Alexandrov, V. Shevtsov, JINR/PPL, Dubna, Moscow Region","Particle-in-cell Numerical Simulations of Particle Dynamics in Beams and ECR Sources",
THPLT094,"A. Smirnov, JINR, Dubna, Moscow Region; T. Katayama, CNS, Saitama; I.N. Meshkov, A.O. Sidorin, E. Syresin, G.V. Troubnikov, JINR, Dubna, Moscow Region; H. Tsutsui, SHI, Tokyo","Ordered Ion Beam in Storage Rings",
THPLT095,"V. Volkov, V. Andreev, E. Frolov, V. Karpinsky, A. Kirichenko, A.D. Kovalenko, V.A. Mikhaylov, S. Romanov, B. Vasilishin, A. Volnov, JINR, Dubna, Moscow Region","Nuclotron Extracted Beam Spill Control",
THPLT099,"D.A. Liakin, ITEP, Moscow","The Analysis of the Electron Beam Scanning Method for the Beam Profile Monitoring.",
THPLT100,"D.A. Liakin, S.V. Barabin, ITEP, Moscow; P. Forck, T. Giacomini, GSI, Darmstadt; V. Skachkov, ITEP, Moscow; A. Vetrov, MSU, Moscow","Development of a Permanent Magnet Residual Gas Profile Monitor With Fast Readout",
THPLT102,"V.M. Pirozhenko, MRTI RAS, Moscow; A.N. Korolev, K.G. Simonov, ISTOK, Moscow Region","Characteristics of Sealed-off Electron Gun with Wide Beam",
THPLT106,"A.V. Grigoriev, V. Kiselev, E.V. Kremyanskaya, E. Levichev, S.I. Mishnev, S.A. Nikitin, D.M. Nikolenko, I.A. Rachek, Y.V. Shestakov, D.K. Toporkov, V.N. Zhilich, BINP SB RAS, Novosibirsk","Measurement of Beam Polarization in VEPP-3 Storage Ring using Internal Target-based Moeller Polarimeter",
