a-01,"R. Bimbot, IPN, Orsay, France","From the Discovery of Radioactivity to the Production of Radioactive Beams",5 12,
d-08,"N. Lecesne, P. Foury, G. Gaubert, Y. Huguet, P. Jardin, R. Leroy, M. Lewitowicz, C. Marry, L. Maunoury, J.Y. Pacquet, E. Robert, M.-G. Saint-Laurent, D. Seron, P. Sortais, A.C.C. Villari, GANIL, Caen, France; J.C. Angélique, N.A. Orr, B. Blank, LPC-ISMRa, Caen, France; F. Clapier, M. Ducourtieux, J. Obert, N. Pauwels, J. Proust, J.C. Putaux, IPN, Orsay, France; S. Kandri-Rody, Université Chouaib Doukkali, El Jadida, Morocco; A. Lépine, University of São Paulo, São Paulo, Brasil","SHyPIE: A New Source for On Line Production of Multicharged Radioactive Condensable Ion Beams",362 365,
d-09,"R. Leroy, O. Bajeat, P. Bertrand, P. Foury, G. Gaubert, Y. Huguet, P. Jardin, N. Lecesne, M. Lewitowicz, C. Marry, L. Maunoury, J.Y. Pacquet, M.-G. Saint-Laurent, P. Sortais, A.C.C. Villari, GANIL, Caen, France; J.C. Angélique, N.A. Orr, LPC-ISMRa, Caen, France; B. Blank, CENBG, Gradignan, France; M. Ducourtieux, J. Obert, J. Proust, J.C. Putaux, IPN, Orsay, France; S. Kandri-Rody, Université Chouaib Doukkali, El Jadida, Morocco; A. Lépine, University of São Paulo, São Paulo, Brasil","The First Target Ion Source System for the SPIRAL Project: Results of the On Line Tests",366 368,
e-01,"Th. Stammbach, PSI, Villigen, Switzerland","High Intensity Problems, Revisited or Cyclotron Operation Beyond Limits",369 376,
e-02,"M.K. Craddock, University of British Columbia and TRIUMF, Vancouver, B.C., Canada","Critical Beam-Intensity Issues in Cyclotrons - Overview of the Santa Fe Workshop",377 380,
e-03,"T. Kuo, R. Baartman, G. Dutto, W.Z. Gelbart, K. Jayamanna, M. McDonald, B.F. Milton, L. Root, P. Schmor, N.R. Stevenson, B. Uzat, D. Yuan, TRIUMF, Vancouver, B.C., Canada","Injection Study for High Current H- Cyclotrons",381 384,
e-04,"E. Baron, J.L. Baelde, C. Berthe, D. Bibet, A. Chabert, P. Gudewicz, C. Jamet, F. Loyer, M.-H. Moscatello, E. Petit, Ch. Ricaud, A. Savalle, G. Senecal, GANIL, Caen, France","Experience with High Intensity Operation of the GANIL Facility",385 388,
e-05,"N. Fiétier, P. Mandrillon, Laboratoire du Cyclotron, Nice, France","High Intensity Cyclotrons for Driving Hybrid Nuclear Systems",389 392,
e-06,"L.A. Sarkissian, Moscow Institute-Internate, Moscow, Russia","A Layout of a 2.7 GeV and 10 MW Cyclotron",393 394,
f-01,"D.P. May, Texas AM University, College Station, Texas, USA","ECR Ion Sources for Accelerators",395 401,
f-02,"P. Yuan, X.H. Guo, X.X. Li, Z.W. Liu, Y.F. Wang, B.W. Wei, W. Zhang, X.Z. Zhang, Z.M. Zhang, H.W. Zhao, S.X. Zhou, Institute of Modern Physics, Lanzhou, China","The Preliminary Explanation of a New Working Model on 10 GHz ECR2 Source",402 404,
f-03,"V.B. Kutner, S.L. Bogomolov, A.A. Efremov, G.G. Gulbekian, G.N. Ivanov, A.N. Lebedev, V.Ya Lebedev, V.N. Loginov, Yu.Ts. Oganessian, A.B. Yakushev, N.Yu. Yazvitsky, JINR, Dubna, Russia","Operation and Recent Development of ECR Ion Sources at the FLNR (JINR) Cyclotrons",405 408,
f-04,"T. Nakagawa, T. Chiba, A. Goto, M. Hemmi, N. Inabe, T. Kageyama, O. Kamigaito, M. Kase, M. Kidera, Y. Miyazawa, Y. Yano, RIKEN, Saitama, Japan; S. Biri, Institute of Nuclear Research of the Hungarian Academy of Sciences, Debrecen, Hungary","Further Development of RIKEN 18 GHz ECRIS",409 412,
f-05,"S. Gammino, M. Cafici, M. Castro, L. Celona, F. Chines, G. Ciavola, S. Marletta, Z. Wang, INFN/LNS, Catania, Italy; F. Bourg, P. Briand, A. Girard, D. Guillaume, P. Ludwig, G. Melin, P. Seyfert, CEA, Grenoble, France","The Superconducting ECR Ion Source SERSE: A Tool for Higher Energies and Currents with the LNS Superconducting Cyclotron",413 416,
f-06,"H.W. Zhao, J.Y. Gao, X.H. Guo, Z.W. Liu, Y.F. Wang, P. Yuan, W. Zhang, X.Z. Zhang, Z.M. Zhang, Institute of Modern Physics, Lanzhou, China","Commissioning of IMP 14.5 GHz ECR Ion Source",417 419,
f-07,"A.V. Vodopyanov, S.V. Golubev, S.V. Razin, V.G. Zorin, Institute of Applied Physics of Russian Academy of Sciences, Nizhny Novgorod, Russia","Investigation of ECR Multi-Charged Ion Source with Pumping by Powerful Millimeter Wave Radiation",420 422,
f-08,"S. Biehe, L. Bin, X. Hongwen, Lanzhou University, Lanzhou, China","Studies on New-Type Full-Ion Source",423 426,
f-09,"S.V. Golubev, V.G. Zorin, Institute of Applied Physics of Russian Academy of Sciences, Nizhny Novgorod, Russia; G.G. Gulbekian, V.B. Kutner, JINR, Dubna, Russia","Gyrotron Pumped ECR Source of Multi-Charged Ions Built in a Cyclotron",427 429,
f-10,"P. Yuan, H.L. Lei, Z.W. Liu, H. Wang, Y.F. Wang, B.W. Wei, X.Z. Zhang, H.W. Zhao, X.S. Zhou, Institute of Modern Physics, Lanzhou, China","Laser Evaporated Aluminium in ECR2 Ion Source",430 432,
f-11,"A.V. Demyanov, Institute for Nuclear Research, Kiev, Ukraine; S.L. Bogomolov, V.B. Kutner, JINR, Dubna, Russia","Injector of Multiply Charged Ions for Acclerators and Implanters",433 434,
f-12,"J. Lorkiewicz, E. Plawski, Soltan Institute for Nuclear Studies, Swierk, Poland","Upgrading of a Small H- Cusp Source for the C-30 Cyclotron at Swierk",435 438,
f-13,"P. Belicev, D. Ciric, Vinca Institute of Nuclear Sciences, Belgrade, Yugoslavia","Characteristics of the pVINIS Ion Source",439 442,
f-14,"A. Dobrosavljevic, I. Draganic, S. Dekic, T. Stalevski, Vinca Institute of Nuclear Sciences, Belgrade, Yugoslavia; A.A. Efremov, V.B. Kutner, N.Yu. Yazvitsky, JINR, Dubna, Russia","Commissioning of the mVINIS Ion Source",443 446,
g-01,"F. Marti, H.G. Blosser, M.M. Gordon, T.L. Grimm, D.O. Jeon, D.A. Johnson, P.S. Miller, D. Poe, S. Snyder, X.Y. Wu, R.C. York, NSCL, East Lansing, Michigan, USA","Beam Dynamics Issues in the NSCL Coupled Cyclotron Upgrade",447 453,
g-02,"H.G. Blosser, D.A. Johnson, F. Marti, NSCL, East Lansing, Michigan, USA","Numerical Study of Efficiency of Multi-Turn Extraction in the K1200 Cyclotron",454 457,
g-03,"P. Bertrand, D. Bibet, M.P. Bourgarel, B. Bru, A. Chabert, F. Daudin, M. Duval, M. Ozille, Ch. Ricaud, F. Varenne, GANIL, Caen, France","SPIRAL Facility at GANIL: Ion Beam Simulation and Optimisation Method for the CIME Cyclotron Injection System",458 461,
g-04,"Yu.G. Alenitskiy, N.A. Morozov, JINR, Dubna, Russia","Computor Modelling of Magnetic Structure for IC-35 Cyclotron",462 465,
g-05,"P.R. Sarma, R.K. Bhandari, S.K. Pattanayak, Variable Energy Cyclotron Centre, Calcutta, India","Improvement of Field Quality of Glaser Magnets Used for Focusing Ion Beams",466 469,
g-06,"P.R. Sarma, R.K. Bhandari, Variable Energy Cyclotron Centre, Calcutta, India","A New Method of Finding the Pole Profile in Quadrupole Magnets for Obtaining High Field Quality",470 473,
g-07,"A.A. Glazov, D.L. Novikov, L.M. Onischenko, JINR, Dubna, Russia","On the High Efficiency Extraction (100%) from the Sector Cyclotron",474 476,
g-08,"S. An, S. Biehe, X. Guoxing, Q. Hengnian, Lanzhou University, Lanzhou, China","The Transfer Matrices for Intense Beam in Solenoid Lens",477 480,
